% f (Hz),	G_rec (dB),	T_e_rec (K)
991000000.000000,	56.894395,	7.246289
992000000.000000,	56.878175,	7.294318
993000000.000000,	56.869154,	7.438516
994000000.000000,	56.871064,	7.125965
995000000.000000,	56.846423,	7.290692
996000000.000000,	56.843327,	7.198079
997000000.000000,	56.825906,	7.421558
998000000.000000,	56.818192,	7.245574
999000000.000000,	56.817147,	7.329721
1000000000.000000,	56.815783,	7.334204
1001000000.000000,	56.793367,	7.433789
1002000000.000000,	56.788603,	7.375079
1003000000.000000,	56.793354,	7.466826
1004000000.000000,	56.804420,	7.264296
1005000000.000000,	56.798935,	7.434527
1006000000.000000,	56.782747,	7.395274
1007000000.000000,	56.774157,	7.452679
1008000000.000000,	56.792165,	7.497328
1009000000.000000,	56.772873,	7.493183
1010000000.000000,	56.781753,	7.453391
1011000000.000000,	56.783642,	7.474228
1012000000.000000,	56.772331,	7.514998
1013000000.000000,	56.764836,	7.457707
1014000000.000000,	56.768883,	7.397001
1015000000.000000,	56.758408,	7.465398
1016000000.000000,	56.756053,	7.579439
1017000000.000000,	56.781664,	7.346086
1018000000.000000,	56.755400,	7.538769
1019000000.000000,	56.766708,	7.514377
1020000000.000000,	56.746895,	7.590601
1021000000.000000,	56.755577,	7.516488
1022000000.000000,	56.766936,	7.429982
1023000000.000000,	56.746772,	7.620268
1024000000.000000,	56.767708,	7.497150
1025000000.000000,	56.751413,	7.559274
1026000000.000000,	56.768895,	7.490759
1027000000.000000,	56.761938,	7.588770
1028000000.000000,	56.761883,	7.563341
1029000000.000000,	56.756864,	7.601655
1030000000.000000,	56.744384,	7.641946
1031000000.000000,	56.738096,	7.637322
1032000000.000000,	56.730891,	7.577507
1033000000.000000,	56.729011,	7.585807
1034000000.000000,	56.733949,	7.492559
1035000000.000000,	56.725394,	7.502090
1036000000.000000,	56.715459,	7.389315
1037000000.000000,	56.717811,	7.425999
1038000000.000000,	56.717425,	7.505803
1039000000.000000,	56.717327,	7.477378
1040000000.000000,	56.723811,	7.433405
1041000000.000000,	56.729739,	7.321362
1042000000.000000,	56.744223,	7.447640
1043000000.000000,	56.726082,	7.430789
1044000000.000000,	56.728339,	7.438934
1045000000.000000,	56.738939,	7.365008
1046000000.000000,	56.739946,	7.249471
1047000000.000000,	56.754914,	7.249373
1048000000.000000,	56.758786,	7.403357
1049000000.000000,	56.763845,	7.254109
1050000000.000000,	56.759649,	7.543543
1051000000.000000,	56.747612,	7.416790
1052000000.000000,	56.755881,	7.327321
1053000000.000000,	56.755720,	7.365814
1054000000.000000,	56.730121,	7.328264
1055000000.000000,	56.749291,	7.280834
1056000000.000000,	56.733874,	7.303804
1057000000.000000,	56.730998,	7.338116
1058000000.000000,	56.733531,	7.379010
1059000000.000000,	56.724304,	7.245715
1060000000.000000,	56.713832,	7.247552
1061000000.000000,	56.693643,	7.438600
1062000000.000000,	56.715552,	7.285638
1063000000.000000,	56.713934,	7.205104
1064000000.000000,	56.690416,	7.340682
1065000000.000000,	56.704415,	7.319282
1066000000.000000,	56.708181,	7.303313
1067000000.000000,	56.705345,	7.426322
1068000000.000000,	56.693782,	7.371363
1069000000.000000,	56.692268,	7.329129
1070000000.000000,	56.700327,	7.299909
1071000000.000000,	56.702911,	7.191754
1072000000.000000,	56.696405,	7.147055
1073000000.000000,	56.686418,	7.311222
1074000000.000000,	56.687766,	7.308560
1075000000.000000,	56.681236,	7.155982
1076000000.000000,	56.665826,	7.313274
1077000000.000000,	56.673197,	7.224209
1078000000.000000,	56.621300,	7.313651
1079000000.000000,	56.627402,	7.415370
1080000000.000000,	56.621348,	7.272162
1081000000.000000,	56.625061,	7.243759
1082000000.000000,	56.600067,	7.426132
1083000000.000000,	56.594651,	7.381441
1084000000.000000,	56.605546,	7.234948
1085000000.000000,	56.607488,	7.226027
1086000000.000000,	56.620118,	7.385100
1087000000.000000,	56.605431,	7.358223
1088000000.000000,	56.619672,	7.324239
1089000000.000000,	56.623561,	7.399076
1090000000.000000,	56.642481,	7.390922
1091000000.000000,	56.659289,	7.303761
1092000000.000000,	56.659938,	7.503313
1093000000.000000,	56.677712,	7.545534
1094000000.000000,	56.698477,	7.432443
1095000000.000000,	56.719029,	7.373935
1096000000.000000,	56.692202,	7.500893
1097000000.000000,	56.712190,	7.476123
1098000000.000000,	56.708527,	7.492516
1099000000.000000,	56.723748,	7.596292
1100000000.000000,	56.707450,	7.570344
1101000000.000000,	56.713554,	7.540098
1102000000.000000,	56.724680,	7.466897
1103000000.000000,	56.711418,	7.609996
1104000000.000000,	56.709743,	7.519716
1105000000.000000,	56.694024,	7.564047
1106000000.000000,	56.695536,	7.542527
1107000000.000000,	56.694915,	7.539716
1108000000.000000,	56.710477,	7.525343
1109000000.000000,	56.705404,	7.516694
1110000000.000000,	56.704373,	7.517441
1111000000.000000,	56.726639,	7.595337
1112000000.000000,	56.728294,	7.625778
1113000000.000000,	56.747341,	7.534161
1114000000.000000,	56.759459,	7.702332
1115000000.000000,	56.769159,	7.609422
1116000000.000000,	56.785798,	7.616572
1117000000.000000,	56.796142,	7.587158
1118000000.000000,	56.824545,	7.416255
1119000000.000000,	56.812251,	7.681044
1120000000.000000,	56.806176,	7.651118
1121000000.000000,	56.819073,	7.583585
1122000000.000000,	56.810399,	7.724132
1123000000.000000,	56.800330,	7.715587
1124000000.000000,	56.800014,	7.649701
1125000000.000000,	56.788536,	7.618771
1126000000.000000,	56.772987,	7.734557
1127000000.000000,	56.784185,	7.564829
1128000000.000000,	56.775067,	7.669839
1129000000.000000,	56.779217,	7.628835
1130000000.000000,	56.763042,	7.648241
1131000000.000000,	56.756160,	7.655579
1132000000.000000,	56.769880,	7.671966
1133000000.000000,	56.760887,	7.620000
1134000000.000000,	56.785169,	7.671855
1135000000.000000,	56.781415,	7.649225
1136000000.000000,	56.791433,	7.679940
1137000000.000000,	56.805993,	7.724937
1138000000.000000,	56.836024,	7.564026
1139000000.000000,	56.828626,	7.802318
1140000000.000000,	56.851297,	7.684861
1141000000.000000,	56.873746,	7.546284
1142000000.000000,	56.892933,	7.682323
1143000000.000000,	56.894952,	7.732570
1144000000.000000,	56.903543,	7.699832
1145000000.000000,	56.945218,	7.332094
1146000000.000000,	56.968078,	7.410426
1147000000.000000,	56.942187,	7.727018
1148000000.000000,	56.944562,	7.526280
1149000000.000000,	56.945951,	7.520413
1150000000.000000,	56.932163,	7.524733
1151000000.000000,	56.921236,	7.712844
1152000000.000000,	56.943489,	7.392762
1153000000.000000,	56.929697,	7.475749
1154000000.000000,	56.912420,	7.523049
1155000000.000000,	56.919162,	7.496366
1156000000.000000,	56.935644,	7.343651
1157000000.000000,	56.941845,	7.350963
1158000000.000000,	56.940743,	7.329960
1159000000.000000,	56.921231,	7.355430
1160000000.000000,	56.936110,	7.336195
1161000000.000000,	56.958485,	7.249530
1162000000.000000,	56.965700,	7.248051
1163000000.000000,	56.960563,	7.359135
1164000000.000000,	56.962085,	7.372343
1165000000.000000,	56.979557,	7.343989
1166000000.000000,	56.972407,	7.365575
1167000000.000000,	56.967457,	7.350402
1168000000.000000,	56.988015,	7.468711
1169000000.000000,	56.966069,	7.370019
1170000000.000000,	56.986290,	7.343836
1171000000.000000,	56.986708,	7.223324
1172000000.000000,	56.978009,	7.232793
1173000000.000000,	56.960675,	7.346465
1174000000.000000,	56.961538,	7.162043
1175000000.000000,	56.957497,	7.285047
1176000000.000000,	56.949495,	7.386384
1177000000.000000,	56.943469,	7.295967
1178000000.000000,	56.932915,	7.393353
1179000000.000000,	56.945510,	7.203388
1180000000.000000,	56.937637,	7.269531
1181000000.000000,	56.917618,	7.433581
1182000000.000000,	56.934799,	7.499944
1183000000.000000,	56.942593,	7.338187
1184000000.000000,	56.946131,	7.324437
1185000000.000000,	56.971004,	7.275665
1186000000.000000,	56.950791,	7.428680
1187000000.000000,	56.967071,	7.342359
1188000000.000000,	56.955329,	7.387493
1189000000.000000,	56.968650,	7.389879
1190000000.000000,	56.982157,	7.293379
1191000000.000000,	56.964540,	7.507872
1192000000.000000,	56.976066,	7.425596
1193000000.000000,	56.964478,	7.484516
1194000000.000000,	56.962892,	7.488976
1195000000.000000,	56.970035,	7.439524
1196000000.000000,	56.980552,	7.357544
1197000000.000000,	56.980342,	7.451045
1198000000.000000,	56.972195,	7.366013
1199000000.000000,	56.947317,	7.468637
1200000000.000000,	56.948801,	7.565437
1201000000.000000,	56.946338,	7.642673
1202000000.000000,	56.959721,	7.400904
1203000000.000000,	56.947569,	7.545263
1204000000.000000,	56.947700,	7.520877
1205000000.000000,	56.948498,	7.571955
1206000000.000000,	56.952660,	7.546374
1207000000.000000,	56.956737,	7.691743
1208000000.000000,	56.965679,	7.479999
1209000000.000000,	56.969492,	7.415805
1210000000.000000,	56.951148,	7.753416
1211000000.000000,	56.962609,	7.562638
1212000000.000000,	56.958755,	7.576181
1213000000.000000,	56.964421,	7.566363
1214000000.000000,	56.952391,	7.570171
1215000000.000000,	56.930569,	7.652655
1216000000.000000,	56.928474,	7.628487
1217000000.000000,	56.920079,	7.813430
1218000000.000000,	56.902756,	7.845954
1219000000.000000,	56.928624,	7.682155
1220000000.000000,	56.929335,	7.616433
1221000000.000000,	56.930607,	7.683886
1222000000.000000,	56.950508,	7.558648
1223000000.000000,	56.920315,	7.679796
1224000000.000000,	56.938432,	7.729293
1225000000.000000,	56.935902,	7.784225
1226000000.000000,	56.931489,	7.763870
1227000000.000000,	56.955469,	7.814509
1228000000.000000,	56.980604,	7.729928
1229000000.000000,	56.972012,	7.810447
1230000000.000000,	57.002894,	7.636249
1231000000.000000,	56.993389,	7.885373
1232000000.000000,	57.003508,	7.884028
1233000000.000000,	57.019862,	7.831436
1234000000.000000,	57.030905,	7.880822
1235000000.000000,	57.020082,	8.058485
1236000000.000000,	57.039847,	7.873458
1237000000.000000,	57.026440,	7.940371
1238000000.000000,	57.036554,	7.974220
1239000000.000000,	57.050188,	7.898947
1240000000.000000,	57.044359,	8.004209
1241000000.000000,	57.051116,	7.974391
1242000000.000000,	57.050618,	8.003592
1243000000.000000,	57.060898,	8.072856
1244000000.000000,	57.071018,	8.006722
1245000000.000000,	57.075787,	7.933394
1246000000.000000,	57.100627,	7.875323
1247000000.000000,	57.120154,	7.886943
1248000000.000000,	57.115822,	8.019575
1249000000.000000,	57.131334,	8.072816
1250000000.000000,	57.158488,	7.920775
1251000000.000000,	57.169688,	7.831253
1252000000.000000,	57.179470,	7.890836
1253000000.000000,	57.201466,	7.788731
1254000000.000000,	57.203002,	7.936890
1255000000.000000,	57.212980,	7.887851
1256000000.000000,	57.221762,	7.865537
1257000000.000000,	57.239328,	7.879995
1258000000.000000,	57.233661,	7.897789
1259000000.000000,	57.227049,	7.920177
1260000000.000000,	57.247508,	7.901423
1261000000.000000,	57.250737,	7.702125
1262000000.000000,	57.245835,	7.796596
1263000000.000000,	57.238743,	7.817456
1264000000.000000,	57.255695,	7.748671
1265000000.000000,	57.252207,	7.673279
1266000000.000000,	57.252483,	7.831901
1267000000.000000,	57.261452,	7.707278
1268000000.000000,	57.272420,	7.753250
1269000000.000000,	57.277208,	7.639493
1270000000.000000,	57.276857,	7.735957
1271000000.000000,	57.296465,	7.687832
1272000000.000000,	57.310506,	7.657941
1273000000.000000,	57.314627,	7.649390
1274000000.000000,	57.329072,	7.633557
1275000000.000000,	57.342143,	7.754159
1276000000.000000,	57.328781,	7.658570
1277000000.000000,	57.354238,	7.687639
1278000000.000000,	57.361127,	7.512969
1279000000.000000,	57.364039,	7.484073
1280000000.000000,	57.364872,	7.501811
1281000000.000000,	57.370116,	7.536591
1282000000.000000,	57.373314,	7.461037
1283000000.000000,	57.373901,	7.436012
1284000000.000000,	57.392177,	7.296285
1285000000.000000,	57.382423,	7.346641
1286000000.000000,	57.374259,	7.268829
1287000000.000000,	57.356808,	7.399278
1288000000.000000,	57.355070,	7.380581
1289000000.000000,	57.377430,	7.238094
1290000000.000000,	57.359392,	7.205752
1291000000.000000,	57.353664,	7.200068
1292000000.000000,	57.364491,	7.136878
1293000000.000000,	57.376695,	7.120190
1294000000.000000,	57.392391,	7.021637
1295000000.000000,	57.360698,	7.108418
1296000000.000000,	57.387000,	7.052256
1297000000.000000,	57.396510,	6.931393
1298000000.000000,	57.391558,	6.971858
1299000000.000000,	57.384880,	7.044133
1300000000.000000,	57.390754,	6.977875
1301000000.000000,	57.393684,	6.929704
1302000000.000000,	57.402075,	6.862711
1303000000.000000,	57.408706,	6.836243
1304000000.000000,	57.393217,	6.896179
1305000000.000000,	57.394259,	6.788594
1306000000.000000,	57.382920,	6.824792
1307000000.000000,	57.371057,	6.866661
1308000000.000000,	57.366686,	6.765279
1309000000.000000,	57.374236,	6.805041
1310000000.000000,	57.368585,	6.765430
1311000000.000000,	57.352150,	6.789224
1312000000.000000,	57.366124,	6.605438
1313000000.000000,	57.349364,	6.656125
1314000000.000000,	57.340123,	6.748163
1315000000.000000,	57.344308,	6.590408
1316000000.000000,	57.336187,	6.601030
1317000000.000000,	57.328883,	6.707113
1318000000.000000,	57.313614,	6.635321
1319000000.000000,	57.316112,	6.682039
1320000000.000000,	57.323526,	6.511486
1321000000.000000,	57.324858,	6.520896
1322000000.000000,	57.283006,	6.699532
1323000000.000000,	57.306743,	6.753244
1324000000.000000,	57.307588,	6.684557
1325000000.000000,	57.313504,	6.653583
1326000000.000000,	57.301154,	6.726820
1327000000.000000,	57.280161,	6.804848
1328000000.000000,	57.292239,	6.690698
1329000000.000000,	57.291401,	6.643542
1330000000.000000,	57.299181,	6.706988
1331000000.000000,	57.289201,	6.807139
1332000000.000000,	57.265566,	6.832013
1333000000.000000,	57.270287,	6.755608
1334000000.000000,	57.264374,	6.844085
1335000000.000000,	57.254263,	6.802244
1336000000.000000,	57.254660,	6.845612
1337000000.000000,	57.235442,	6.987260
1338000000.000000,	57.236240,	6.878901
1339000000.000000,	57.220440,	6.891250
1340000000.000000,	57.221171,	6.828066
1341000000.000000,	57.189605,	7.039052
1342000000.000000,	57.194228,	7.151501
1343000000.000000,	57.193212,	6.932780
1344000000.000000,	57.175364,	6.922996
1345000000.000000,	57.158243,	7.170257
1346000000.000000,	57.168344,	7.057856
1347000000.000000,	57.156044,	7.078068
1348000000.000000,	57.160195,	7.107078
1349000000.000000,	57.146609,	7.030331
1350000000.000000,	57.128794,	7.184476
1351000000.000000,	57.133685,	7.152563
1352000000.000000,	57.113211,	7.123763
1353000000.000000,	57.121628,	7.173656
1354000000.000000,	57.126021,	7.105597
1355000000.000000,	57.124480,	6.977892
1356000000.000000,	57.106455,	7.173923
1357000000.000000,	57.102956,	7.077082
1358000000.000000,	57.094512,	7.299667
1359000000.000000,	57.081398,	7.243535
1360000000.000000,	57.084643,	7.313479
1361000000.000000,	57.073041,	7.326694
1362000000.000000,	57.064886,	7.286746
1363000000.000000,	57.045670,	7.313148
1364000000.000000,	57.051239,	7.286127
1365000000.000000,	57.030045,	7.316814
1366000000.000000,	57.045234,	7.345132
1367000000.000000,	57.036369,	7.357190
1368000000.000000,	57.038116,	7.391760
1369000000.000000,	57.021041,	7.395805
1370000000.000000,	57.026542,	7.421603
1371000000.000000,	57.029678,	7.474482
1372000000.000000,	57.046225,	7.393643
1373000000.000000,	57.051104,	7.320012
1374000000.000000,	57.043766,	7.493434
1375000000.000000,	57.055995,	7.495036
1376000000.000000,	57.058136,	7.433439
1377000000.000000,	57.050385,	7.568103
1378000000.000000,	57.066091,	7.565643
1379000000.000000,	57.059387,	7.606650
1380000000.000000,	57.083151,	7.549394
1381000000.000000,	57.054383,	7.739684
1382000000.000000,	57.080430,	7.554329
1383000000.000000,	57.063603,	7.695949
1384000000.000000,	57.070538,	7.642513
1385000000.000000,	57.069648,	7.574402
1386000000.000000,	57.058164,	7.776846
1387000000.000000,	57.046211,	7.647969
1388000000.000000,	57.025796,	7.911822
1389000000.000000,	57.023181,	7.746799
1390000000.000000,	57.012126,	7.795748
1391000000.000000,	57.019478,	7.761041
1392000000.000000,	57.014642,	7.720541
1393000000.000000,	56.992952,	7.809713
1394000000.000000,	56.988193,	7.829606
1395000000.000000,	56.983307,	7.735713
1396000000.000000,	56.987168,	7.797644
1397000000.000000,	56.957874,	7.954489
1398000000.000000,	56.966563,	7.744941
1399000000.000000,	56.937874,	7.917240
1400000000.000000,	56.931528,	8.050459
1401000000.000000,	56.927432,	8.102319
1402000000.000000,	56.915744,	8.337541
1403000000.000000,	56.882201,	8.336307
1404000000.000000,	56.873201,	8.407800
1405000000.000000,	56.855623,	8.601241
1406000000.000000,	56.829822,	8.575937
1407000000.000000,	56.821304,	8.682768
1408000000.000000,	56.811107,	8.709651
1409000000.000000,	56.790638,	8.948669
1410000000.000000,	56.760809,	9.137472
1411000000.000000,	56.755197,	9.215594
1412000000.000000,	56.733527,	9.577864
1413000000.000000,	56.721106,	9.824147
1414000000.000000,	56.707921,	10.07506
1415000000.000000,	56.683740,	10.19121
1416000000.000000,	56.654395,	10.51950
1417000000.000000,	56.670035,	10.67802
1418000000.000000,	56.644514,	10.70745
1419000000.000000,	56.646074,	10.60390
1420000000.000000,	56.659228,	10.56466
1421000000.000000,	56.663072,	10.56401
1422000000.000000,	56.678191,	10.51043
1423000000.000000,	56.704787,	10.51002
1424000000.000000,	56.737708,	10.02907
1425000000.000000,	56.772546,	10.03344
1426000000.000000,	56.799984,	9.714897
1427000000.000000,	56.820500,	9.481539
1428000000.000000,	56.852362,	9.314696
1429000000.000000,	56.862190,	9.256088
1430000000.000000,	56.881220,	9.105285
1431000000.000000,	56.914599,	8.891393
1432000000.000000,	56.923984,	8.648812
1433000000.000000,	56.934163,	8.652702
1434000000.000000,	56.928988,	8.529161
1435000000.000000,	56.954471,	8.331965
1436000000.000000,	56.935508,	8.466849
1437000000.000000,	56.962790,	8.310326
1438000000.000000,	56.950043,	8.445910
1439000000.000000,	56.940572,	8.303808
1440000000.000000,	56.944263,	8.322595
1441000000.000000,	56.952559,	8.212130
1442000000.000000,	56.937623,	8.591179
1443000000.000000,	56.934373,	8.512839
1444000000.000000,	56.938951,	8.368261
1445000000.000000,	56.929064,	8.482277
1446000000.000000,	56.934421,	8.501577
1447000000.000000,	56.919660,	8.598699
1448000000.000000,	56.924911,	8.509322
1449000000.000000,	56.910980,	8.531045
1450000000.000000,	56.903042,	8.688657
1451000000.000000,	56.903340,	8.766580
1452000000.000000,	56.884988,	8.900103
1453000000.000000,	56.879120,	8.828562
1454000000.000000,	56.871940,	8.944169
1455000000.000000,	56.848406,	9.120678
1456000000.000000,	56.829140,	9.170354
1457000000.000000,	56.827811,	8.908605
1458000000.000000,	56.802496,	9.102724
1459000000.000000,	56.802399,	9.083429
1460000000.000000,	56.780246,	9.224763
1461000000.000000,	56.796507,	8.950001
1462000000.000000,	56.779493,	9.022017
1463000000.000000,	56.772954,	8.971644
1464000000.000000,	56.768324,	8.936413
1465000000.000000,	56.757974,	8.996579
1466000000.000000,	56.757143,	8.782133
1467000000.000000,	56.744114,	8.901348
1468000000.000000,	56.760090,	8.843947
1469000000.000000,	56.735575,	8.960390
1470000000.000000,	56.750485,	8.820980
1471000000.000000,	56.751254,	8.742387
1472000000.000000,	56.754191,	8.841611
1473000000.000000,	56.744293,	8.931906
1474000000.000000,	56.784884,	8.781290
1475000000.000000,	56.766150,	8.800600
1476000000.000000,	56.793952,	8.649601
1477000000.000000,	56.796340,	8.653721
1478000000.000000,	56.796939,	8.605215
1479000000.000000,	56.791715,	8.845058
1480000000.000000,	56.810603,	8.760627
1481000000.000000,	56.820329,	8.713146
1482000000.000000,	56.846090,	8.560814
1483000000.000000,	56.863812,	8.489059
1484000000.000000,	56.859309,	8.595855
1485000000.000000,	56.878740,	8.604032
1486000000.000000,	56.904687,	8.531074
1487000000.000000,	56.914939,	8.520365
1488000000.000000,	56.917528,	8.586418
1489000000.000000,	56.930591,	8.523353
1490000000.000000,	56.941461,	8.554955
1491000000.000000,	56.955307,	8.625367
1492000000.000000,	56.974963,	8.403934
1493000000.000000,	56.976908,	8.606368
1494000000.000000,	56.973457,	8.427383
1495000000.000000,	56.966652,	8.602419
1496000000.000000,	56.987304,	8.385909
1497000000.000000,	56.986389,	8.388106
1498000000.000000,	56.978910,	8.463867
1499000000.000000,	56.974195,	8.495754
1500000000.000000,	56.984459,	8.281195
1501000000.000000,	56.952465,	8.403685
1502000000.000000,	56.950993,	8.469927
1503000000.000000,	56.956511,	8.352664
1504000000.000000,	56.957971,	8.331369
1505000000.000000,	56.959857,	8.372286
1506000000.000000,	56.933277,	8.537139
1507000000.000000,	56.924784,	8.339810
1508000000.000000,	56.948549,	8.355210
1509000000.000000,	56.953452,	8.256777
1510000000.000000,	56.931046,	8.528489
1511000000.000000,	56.952423,	8.199734
1512000000.000000,	56.965696,	8.177045
1513000000.000000,	56.949392,	8.286695
1514000000.000000,	56.947346,	8.383468
1515000000.000000,	56.943887,	8.216700
1516000000.000000,	56.954299,	8.214904
1517000000.000000,	56.959886,	8.186033
1518000000.000000,	56.929564,	8.238090
1519000000.000000,	56.938116,	8.271662
1520000000.000000,	56.931324,	8.408675
1521000000.000000,	56.929641,	8.202281
1522000000.000000,	56.916765,	8.199244
1523000000.000000,	56.897353,	8.182415
1524000000.000000,	56.874068,	8.207001
1525000000.000000,	56.865401,	8.143359
1526000000.000000,	56.854820,	8.036710
1527000000.000000,	56.838790,	8.249636
1528000000.000000,	56.828176,	8.195907
1529000000.000000,	56.824297,	8.240467
1530000000.000000,	56.827365,	8.015190
1531000000.000000,	56.802194,	8.214490
1532000000.000000,	56.796746,	8.220943
1533000000.000000,	56.811791,	8.149827
1534000000.000000,	56.820035,	8.031817
1535000000.000000,	56.816553,	8.027020
1536000000.000000,	56.830866,	8.053700
1537000000.000000,	56.816949,	8.030382
1538000000.000000,	56.822293,	8.031149
1539000000.000000,	56.818321,	7.923176
1540000000.000000,	56.818342,	7.872422
1541000000.000000,	56.816248,	7.875317
1542000000.000000,	56.804537,	7.882252
1543000000.000000,	56.794045,	8.040416
1544000000.000000,	56.799638,	7.845050
1545000000.000000,	56.782094,	7.783335
1546000000.000000,	56.764936,	7.874433
1547000000.000000,	56.754603,	7.771884
1548000000.000000,	56.731545,	7.686305
1549000000.000000,	56.722676,	7.604409
1550000000.000000,	56.681591,	7.611231
1551000000.000000,	56.676838,	7.784967
1552000000.000000,	56.669542,	7.680251
1553000000.000000,	56.619478,	7.868710
1554000000.000000,	56.617175,	7.687955
1555000000.000000,	56.607366,	7.612804
1556000000.000000,	56.586148,	7.780926
1557000000.000000,	56.567707,	7.732599
1558000000.000000,	56.560384,	7.747079
1559000000.000000,	56.552331,	7.664047
1560000000.000000,	56.545246,	7.750959
1561000000.000000,	56.527941,	7.782464
1562000000.000000,	56.535742,	7.615297
1563000000.000000,	56.519350,	7.581506
1564000000.000000,	56.501821,	7.770132
1565000000.000000,	56.506820,	7.576212
1566000000.000000,	56.482764,	7.655648
1567000000.000000,	56.481702,	7.684588
1568000000.000000,	56.463018,	7.630392
1569000000.000000,	56.428168,	7.670955
1570000000.000000,	56.417082,	7.693881
1571000000.000000,	56.414231,	7.798752
1572000000.000000,	56.377645,	7.632095
1573000000.000000,	56.355919,	7.653223
1574000000.000000,	56.347581,	7.653011
1575000000.000000,	56.325954,	7.638788
1576000000.000000,	56.282235,	7.759346
1577000000.000000,	56.294754,	7.670109
1578000000.000000,	56.274873,	7.646812
1579000000.000000,	56.260891,	7.689785
1580000000.000000,	56.248429,	7.719572
1581000000.000000,	56.237810,	7.817390
1582000000.000000,	56.249205,	7.683983
1583000000.000000,	56.218031,	7.802486
1584000000.000000,	56.232926,	7.851711
1585000000.000000,	56.238026,	7.705704
1586000000.000000,	56.225243,	7.772147
1587000000.000000,	56.244948,	7.664601
1588000000.000000,	56.219279,	7.949259
1589000000.000000,	56.232353,	7.660637
1590000000.000000,	56.214921,	7.910653
1591000000.000000,	56.224145,	7.775111
1592000000.000000,	56.231612,	7.709040
1593000000.000000,	56.196895,	7.932256
1594000000.000000,	56.214865,	7.770961
1595000000.000000,	56.197916,	7.872446
1596000000.000000,	56.184516,	7.804175
1597000000.000000,	56.169487,	7.795238
1598000000.000000,	56.172226,	7.745517
1599000000.000000,	56.155802,	7.717974
1600000000.000000,	56.162879,	7.701873
1601000000.000000,	56.140404,	7.782789
