% f (Hz),	G_rec (dB),	T_e_rec (K)
1228073984.000000,	54.328119,	7.917998
1229072640.000000,	54.337508,	7.951859
1230071296.000000,	54.332556,	7.923685
1231070080.000000,	54.339096,	7.884089
1232068736.000000,	54.322033,	8.247536
1233067392.000000,	54.335571,	8.002133
1234066176.000000,	54.336265,	8.030618
1235064832.000000,	54.332824,	7.992634
1236063616.000000,	54.335280,	8.194418
1237062272.000000,	54.337750,	8.033332
1238060928.000000,	54.349040,	7.913206
1239059712.000000,	54.347885,	8.066233
1240058368.000000,	54.364403,	8.019021
1241057024.000000,	54.360270,	7.981870
1242055808.000000,	54.378600,	7.968728
1243054464.000000,	54.389885,	7.928671
1244053120.000000,	54.381370,	8.076370
1245051904.000000,	54.389539,	8.180777
1246050560.000000,	54.405488,	8.041831
1247049344.000000,	54.411478,	8.100230
1248048000.000000,	54.425369,	8.112736
1249046656.000000,	54.441853,	8.016179
1250045440.000000,	54.477713,	7.921197
1251044096.000000,	54.469475,	8.007669
1252042752.000000,	54.476320,	8.010086
1253041536.000000,	54.479758,	8.082089
1254040192.000000,	54.483872,	8.143526
1255038848.000000,	54.504528,	8.017391
1256037632.000000,	54.530417,	7.884134
1257036288.000000,	54.539077,	8.008528
1258035072.000000,	54.537256,	7.973920
1259033728.000000,	54.561944,	7.827265
1260032384.000000,	54.571947,	7.920121
1261031168.000000,	54.577044,	7.905351
1262029824.000000,	54.575998,	7.969408
1263028480.000000,	54.605941,	7.739804
1264027264.000000,	54.620875,	7.769283
1265025920.000000,	54.620902,	7.883151
1266024704.000000,	54.640865,	7.835337
1267023360.000000,	54.635667,	7.962356
1268022016.000000,	54.660951,	7.797761
1269020800.000000,	54.692729,	7.823216
1270019456.000000,	54.713931,	7.632917
1271018112.000000,	54.709682,	7.677888
1272016896.000000,	54.733580,	7.691450
1273015552.000000,	54.757606,	7.725545
1274014208.000000,	54.778601,	7.669303
1275012992.000000,	54.782270,	7.710362
1276011648.000000,	54.799570,	7.738259
1277010432.000000,	54.822288,	7.688612
1278009088.000000,	54.842322,	7.533736
1279007744.000000,	54.851616,	7.659891
1280006528.000000,	54.880317,	7.523504
1281005184.000000,	54.881083,	7.691614
1282003840.000000,	54.895027,	7.588039
1283002624.000000,	54.910341,	7.588535
1284001280.000000,	54.922135,	7.486334
1285000064.000000,	54.941144,	7.363010
1285998720.000000,	54.950911,	7.428441
1286997376.000000,	54.984704,	7.323800
1287996160.000000,	54.991052,	7.238437
1288994816.000000,	55.002046,	7.323624
1289993472.000000,	55.023049,	7.241186
1290992256.000000,	55.025009,	7.230200
1291990912.000000,	55.051376,	7.142899
1292989568.000000,	55.078769,	7.222214
1293988352.000000,	55.075513,	7.158142
1294987008.000000,	55.094794,	7.120649
1295985792.000000,	55.125237,	7.029630
1296984448.000000,	55.156359,	6.999498
1297983104.000000,	55.160955,	6.920954
1298981888.000000,	55.174168,	6.979027
1299980544.000000,	55.189045,	6.925302
1300979200.000000,	55.194246,	6.886952
1301977984.000000,	55.195330,	6.822312
1302976640.000000,	55.196439,	6.868856
1303975296.000000,	55.203248,	6.948720
1304974080.000000,	55.220719,	6.760308
1305972736.000000,	55.204452,	6.942507
1306971520.000000,	55.227874,	6.783491
1307970176.000000,	55.233473,	6.784024
1308968832.000000,	55.235938,	6.763163
1309967616.000000,	55.238920,	6.706123
1310966272.000000,	55.237940,	6.824856
1311964928.000000,	55.228295,	6.810955
1312963712.000000,	55.246865,	6.667425
1313962368.000000,	55.249467,	6.810561
1314961152.000000,	55.257995,	6.699486
1315959808.000000,	55.253193,	6.770538
1316958464.000000,	55.274572,	6.737492
1317957248.000000,	55.288082,	6.623147
1318955904.000000,	55.264580,	6.787554
1319954560.000000,	55.300940,	6.578641
1320953344.000000,	55.296837,	6.601378
1321952000.000000,	55.280402,	6.766146
1322950656.000000,	55.284425,	6.902248
1323949440.000000,	55.303593,	6.672882
1324948096.000000,	55.295593,	6.754605
1325946880.000000,	55.284594,	6.737685
1326945536.000000,	55.283287,	6.782442
1327944192.000000,	55.293880,	6.693185
1328942976.000000,	55.286322,	6.804728
1329941632.000000,	55.275528,	6.777344
1330940288.000000,	55.272619,	6.825543
1331939072.000000,	55.254995,	6.870079
1332937728.000000,	55.261822,	6.720258
1333936384.000000,	55.252343,	6.921286
1334935168.000000,	55.238298,	6.888092
1335933824.000000,	55.247171,	6.849588
1336932608.000000,	55.243450,	6.823520
1337931264.000000,	55.242745,	6.830102
1338929920.000000,	55.227765,	6.869136
1339928704.000000,	55.222364,	6.897211
1340927360.000000,	55.211380,	6.972681
1341926016.000000,	55.199066,	7.028937
1342924800.000000,	55.199752,	7.002498
1343923456.000000,	55.202529,	7.001657
1344922240.000000,	55.192313,	7.205182
1345920896.000000,	55.188470,	7.245189
1346919552.000000,	55.182481,	7.217555
1347918336.000000,	55.184781,	7.166536
1348916992.000000,	55.181800,	7.203452
1349915648.000000,	55.177985,	7.207099
1350914432.000000,	55.174614,	7.360309
1351913088.000000,	55.174276,	7.417867
1352911744.000000,	55.152210,	7.533984
1353910528.000000,	55.146458,	7.565862
1354909184.000000,	55.125636,	7.673391
1355907968.000000,	55.123408,	7.594585
1356906624.000000,	55.104571,	7.732648
1357905280.000000,	55.109557,	7.528236
1358904064.000000,	55.071210,	7.727806
1359902720.000000,	55.060877,	7.682912
1360901376.000000,	55.039183,	7.720815
1361900160.000000,	55.034222,	7.590866
1362898816.000000,	54.997238,	7.786271
1363897472.000000,	54.986837,	7.752420
1364896256.000000,	54.979115,	7.728883
1365894912.000000,	54.973015,	7.697731
1366893696.000000,	54.998533,	7.455860
1367892352.000000,	54.985569,	7.562932
1368891008.000000,	54.954285,	7.761210
1369889792.000000,	54.976837,	7.498882
1370888448.000000,	54.964180,	7.584374
1371887104.000000,	54.965197,	7.598599
1372885888.000000,	54.960895,	7.568034
1373884544.000000,	54.956113,	7.588053
1374883328.000000,	54.942902,	7.555554
1375881984.000000,	54.943514,	7.669750
1376880640.000000,	54.941595,	7.781376
1377879424.000000,	54.948729,	7.632701
1378878080.000000,	54.930811,	7.694907
1379876736.000000,	54.946795,	7.564475
