% f (Hz),G_rec (dB),T_e_rec (K)
1510000000,  54.13,   9.07
1511000000,  54.13,   9.01
1512000000,  54.14,   8.91
1513000000,  54.14,   9.09
1514000000,  54.13,   8.99
1515000000,  54.13,   9.08
1516000000,  54.14,   9.21
1517000000,  54.14,   9.18
1518000000,  54.14,   9.16
1519000000,  54.14,   8.93
1520000000,  54.15,   8.82
1521000000,  54.14,   8.91
1522000000,  54.15,   8.98
1523000000,  54.15,   8.84
1524000000,  54.15,   8.95
1525000000,  54.15,   8.97
1526000000,  54.15,   8.90
1527000000,  54.16,   8.87
1528000000,  54.15,   8.80
1529000000,  54.16,   9.13
1530000000,  54.15,   9.01
1531000000,  54.16,   8.93
1532000000,  54.16,   9.03
1533000000,  54.15,   8.89
1534000000,  54.16,   8.91
1535000000,  54.16,   8.97
1536000000,  54.16,   8.89
1537000000,  54.16,   8.84
1538000000,  54.16,   8.88
1539000000,  54.16,   8.82
1540000000,  54.16,   8.76
1541000000,  54.17,   8.57
1542000000,  54.17,   8.71
1543000000,  54.16,   8.62
1544000000,  54.17,   8.81
1545000000,  54.16,   8.55
1546000000,  54.16,   8.66
1547000000,  54.16,   8.68
1548000000,  54.16,   8.66
1549000000,  54.15,   8.56
1550000000,  54.16,   8.55
1551000000,  54.15,   8.50
1552000000,  54.14,   8.53
1553000000,  54.14,   8.46
1554000000,  54.14,   8.53
1555000000,  54.14,   8.49
1556000000,  54.13,   8.45
1557000000,  54.13,   8.56
1558000000,  54.12,   8.63
1559000000,  54.12,   8.42
1560000000,  54.12,   8.53
1561000000,  54.11,   8.36
1562000000,  54.10,   8.47
1563000000,  54.09,   8.37
1564000000,  54.08,   8.41
1565000000,  54.08,   8.39
1566000000,  54.07,   8.39
1567000000,  54.05,   8.58
1568000000,  54.05,   8.24
1569000000,  54.06,   8.46
1570000000,  54.04,   8.39
1571000000,  54.02,   8.42
1572000000,  54.03,   8.67
1573000000,  54.02,   8.57
1574000000,  54.01,   8.58
1575000000,  53.99,   8.44
1576000000,  54.00,   8.46
1577000000,  53.98,   8.42
1578000000,  53.97,   8.56
1579000000,  53.97,   8.60
1580000000,  53.96,   8.59
1581000000,  53.95,   8.62
1582000000,  53.93,   8.58
1583000000,  53.92,   8.53
1584000000,  53.91,   8.54
1585000000,  53.90,   8.68
1586000000,  53.89,   8.62
1587000000,  53.88,   8.80
1588000000,  53.87,   8.59
1589000000,  53.85,   8.98
1590000000,  53.84,   8.76
1591000000,  53.84,   8.74
1592000000,  53.81,   8.79
1593000000,  53.80,   8.81
1594000000,  53.79,   8.80
1595000000,  53.78,   8.73
1596000000,  53.77,   8.99
1597000000,  53.75,   8.97
1598000000,  53.73,   9.07
1599000000,  53.71,   8.96
1600000000,  53.72,   9.01
1601000000,  53.69,   9.02
1602000000,  53.67,   8.91
1603000000,  53.66,   8.97
1604000000,  53.65,   9.13
1605000000,  53.63,   9.15
1606000000,  53.61,   8.88
1607000000,  53.60,   9.15
1608000000,  53.58,   9.28
1609000000,  53.57,   9.21
1610000000,  53.54,   9.35
1611000000,  53.54,   9.27
1612000000,  53.52,   9.52
1613000000,  53.49,   9.49
1614000000,  53.49,   9.39
1615000000,  53.47,   9.45
1616000000,  53.45,   9.45
1617000000,  53.44,   9.63
1618000000,  53.42,   9.51
1619000000,  53.42,   9.64
1620000000,  53.40,   9.56
1621000000,  53.38,   9.60
1622000000,  53.38,   9.71
1623000000,  53.37,   9.61
1624000000,  53.36,   9.79
1625000000,  53.35,   9.61
1626000000,  53.35,   9.73
1627000000,  53.34,   9.81
1628000000,  53.33,   9.84
1629000000,  53.32,   9.58
1630000000,  53.32,   9.81
1631000000,  53.32,   9.70
1632000000,  53.31,   9.81
1633000000,  53.32,   9.60
1634000000,  53.30,   9.70
1635000000,  53.30,   9.67
1636000000,  53.30,   9.72
1637000000,  53.30,   9.67
1638000000,  53.29,   9.76
1639000000,  53.30,   9.58
1640000000,  53.29,   9.55
1641000000,  53.30,   9.40
1642000000,  53.29,   9.57
1643000000,  53.29,   9.50
1644000000,  53.28,   9.40
1645000000,  53.27,   9.52
1646000000,  53.29,   9.29
1647000000,  53.28,   9.33
1648000000,  53.27,   9.32
1649000000,  53.28,   9.26
1650000000,  53.29,   9.22
1651000000,  53.29,   9.40
1652000000,  53.29,   9.09
1653000000,  53.29,   9.22
1654000000,  53.29,   9.24
1655000000,  53.29,   9.30
1656000000,  53.28,   9.08
1657000000,  53.28,   9.29
1658000000,  53.28,   9.15
1659000000,  53.29,   9.07
1660000000,  53.28,   9.35
1661000000,  53.28,   9.05
1662000000,  53.29,   9.16
1663000000,  53.30,   9.27
1664000000,  53.28,   9.33
1665000000,  53.30,   9.18
1666000000,  53.29,   9.34
1667000000,  53.30,   9.15
1668000000,  53.31,   9.15
1669000000,  53.30,   9.39
1670000000,  53.30,   9.34
