% f (Hz),G_rec (dB),T_e_rec (K)
1215000000,  54.67,   8.37
1216000000,  54.67,   8.41
1217000000,  54.66,   8.49
1218000000,  54.66,   8.43
1219000000,  54.66,   8.52
1220000000,  54.66,   8.42
1221000000,  54.65,   8.46
1222000000,  54.65,   8.44
1223000000,  54.64,   8.46
1224000000,  54.64,   8.41
1225000000,  54.64,   8.38
1226000000,  54.65,   8.41
1227000000,  54.64,   8.33
1228000000,  54.64,   8.49
1229000000,  54.64,   8.41
1230000000,  54.66,   8.49
1231000000,  54.65,   8.58
1232000000,  54.65,   8.50
1233000000,  54.66,   8.44
1234000000,  54.66,   8.52
1235000000,  54.67,   8.38
1236000000,  54.67,   8.43
1237000000,  54.67,   8.41
1238000000,  54.67,   8.53
1239000000,  54.68,   8.32
1240000000,  54.69,   8.42
1241000000,  54.69,   8.50
1242000000,  54.70,   8.60
1243000000,  54.70,   8.43
1244000000,  54.70,   8.44
1245000000,  54.71,   8.60
1246000000,  54.72,   8.49
1247000000,  54.72,   8.40
1248000000,  54.73,   8.46
1249000000,  54.74,   8.57
1250000000,  54.73,   8.48
1251000000,  54.74,   8.62
1252000000,  54.75,   8.55
1253000000,  54.75,   8.31
1254000000,  54.76,   8.56
1255000000,  54.77,   8.63
1256000000,  54.78,   8.43
1257000000,  54.77,   8.48
1258000000,  54.78,   8.36
1259000000,  54.78,   8.41
1260000000,  54.79,   8.34
1261000000,  54.80,   8.41
1262000000,  54.80,   8.47
1263000000,  54.81,   8.57
1264000000,  54.82,   8.42
1265000000,  54.83,   8.49
1266000000,  54.85,   8.31
1267000000,  54.84,   8.38
1268000000,  54.85,   8.30
1269000000,  54.87,   8.45
1270000000,  54.86,   8.40
1271000000,  54.88,   8.45
1272000000,  54.89,   8.38
1273000000,  54.89,   8.26
1274000000,  54.90,   8.40
1275000000,  54.92,   8.36
1276000000,  54.92,   8.41
1277000000,  54.92,   8.32
1278000000,  54.93,   8.39
1279000000,  54.94,   8.19
1280000000,  54.94,   8.40
1281000000,  54.95,   8.29
1282000000,  54.96,   8.37
1283000000,  54.96,   8.33
1284000000,  54.97,   8.23
1285000000,  54.98,   8.31
1286000000,  54.98,   8.27
1287000000,  54.99,   8.29
1288000000,  55.00,   8.15
1289000000,  55.01,   8.25
1290000000,  55.00,   8.06
1291000000,  55.02,   8.17
1292000000,  55.02,   8.28
1293000000,  55.01,   8.08
1294000000,  55.03,   8.18
1295000000,  55.03,   8.16
1296000000,  55.03,   8.02
1297000000,  55.03,   8.23
1298000000,  55.03,   8.09
1299000000,  55.04,   8.15
1300000000,  55.05,   8.09
1301000000,  55.05,   8.18
1302000000,  55.05,   8.14
1303000000,  55.05,   8.07
1304000000,  55.05,   8.21
1305000000,  55.05,   8.00
1306000000,  55.04,   8.02
1307000000,  55.05,   7.91
1308000000,  55.05,   8.02
1309000000,  55.03,   7.90
1310000000,  55.05,   7.92
1311000000,  55.03,   8.07
1312000000,  55.04,   8.02
1313000000,  55.04,   8.03
1314000000,  55.03,   7.95
1315000000,  55.03,   7.96
1316000000,  55.03,   7.97
1317000000,  55.02,   8.00
1318000000,  55.02,   8.01
1319000000,  55.02,   8.05
1320000000,  55.02,   8.00
1321000000,  55.01,   7.95
1322000000,  55.00,   8.00
1323000000,  55.00,   7.89
1324000000,  54.99,   7.86
1325000000,  54.98,   7.87
1326000000,  54.98,   7.95
1327000000,  54.97,   8.05
1328000000,  54.97,   7.88
1329000000,  54.96,   8.01
1330000000,  54.95,   7.93
1331000000,  54.95,   7.94
1332000000,  54.94,   7.95
1333000000,  54.93,   8.06
1334000000,  54.92,   7.96
1335000000,  54.92,   7.94
1336000000,  54.91,   7.98
1337000000,  54.90,   7.93
1338000000,  54.89,   7.93
1339000000,  54.88,   8.02
1340000000,  54.87,   7.96
1341000000,  54.87,   7.86
1342000000,  54.86,   7.85
1343000000,  54.84,   8.00
1344000000,  54.84,   7.98
1345000000,  54.84,   7.86
1346000000,  54.83,   8.02
1347000000,  54.82,   7.85
1348000000,  54.80,   8.08
1349000000,  54.81,   7.94
1350000000,  54.80,   8.06
1351000000,  54.79,   8.04
1352000000,  54.79,   8.07
1353000000,  54.78,   7.93
1354000000,  54.78,   8.04
1355000000,  54.77,   8.03
1356000000,  54.77,   8.02
1357000000,  54.77,   8.22
1358000000,  54.75,   8.14
1359000000,  54.74,   8.04
1360000000,  54.75,   8.03
1361000000,  54.75,   8.08
1362000000,  54.74,   8.32
1363000000,  54.73,   8.13
1364000000,  54.73,   8.06
1365000000,  54.73,   8.17
1366000000,  54.73,   7.99
1367000000,  54.72,   8.21
1368000000,  54.71,   8.17
1369000000,  54.70,   8.11
1370000000,  54.71,   8.28
1371000000,  54.70,   8.14
1372000000,  54.70,   8.14
1373000000,  54.69,   8.21
1374000000,  54.69,   8.44
1375000000,  54.69,   8.29
1376000000,  54.68,   8.33
1377000000,  54.68,   8.23
1378000000,  54.68,   8.22
1379000000,  54.67,   8.36
1380000000,  54.67,   8.42
1381000000,  54.68,   8.34
1382000000,  54.66,   8.40
1383000000,  54.66,   8.43
1384000000,  54.66,   8.52
1385000000,  54.67,   8.60
1386000000,  54.67,   8.46
1387000000,  54.66,   8.49
1388000000,  54.67,   8.42
1389000000,  54.67,   8.40
1390000000,  54.66,   8.47
1391000000,  54.67,   8.58
1392000000,  54.66,   8.57
1393000000,  54.66,   8.49
1394000000,  54.67,   8.46
1395000000,  54.66,   8.49
1396000000,  54.66,   8.40
1397000000,  54.66,   8.36
1398000000,  54.66,   8.40
1399000000,  54.66,   8.34
1400000000,  54.66,   8.46
1401000000,  54.67,   8.40
1402000000,  54.66,   8.22
1403000000,  54.65,   8.30
1404000000,  54.67,   8.37
1405000000,  54.66,   8.37
1406000000,  54.65,   8.28
1407000000,  54.65,   8.25
1408000000,  54.66,   8.38
1409000000,  54.66,   8.25
1410000000,  54.66,   8.21
1411000000,  54.65,   8.31
1412000000,  54.67,   8.29
1413000000,  54.65,   8.26
1414000000,  54.66,   8.17
1415000000,  54.67,   8.45
1416000000,  54.67,   8.23
1417000000,  54.67,   8.18
1418000000,  54.67,   8.23
1419000000,  54.67,   8.09
1420000000,  54.67,   8.22
1421000000,  54.67,   8.21
1422000000,  54.66,   8.28
1423000000,  54.67,   8.44
1424000000,  54.66,   8.37
1425000000,  54.66,   8.24
1426000000,  54.66,   8.34
1427000000,  54.65,   8.36
1428000000,  54.65,   8.49
1429000000,  54.64,   8.38
1430000000,  54.65,   8.28
1431000000,  54.65,   8.42
1432000000,  54.64,   8.38
1433000000,  54.63,   8.43
1434000000,  54.64,   8.48
1435000000,  54.63,   8.46
1436000000,  54.63,   8.36
1437000000,  54.63,   8.57
1438000000,  54.63,   8.59
1439000000,  54.62,   8.60
1440000000,  54.62,   8.64
1441000000,  54.63,   8.63
1442000000,  54.62,   8.77
1443000000,  54.61,   9.00
1444000000,  54.62,   8.79
1445000000,  54.61,   8.79
1446000000,  54.61,   8.91
1447000000,  54.60,   9.00
1448000000,  54.60,   9.00
