#RxL_SN4003_calculated_noise_V_chan
# f (Hz),T_e_cal (K)
1369000000,  20.25
1370000000,  20.27
1371000000,  20.16
1372000000,  20.33
1373000000,  20.23
1374000000,  20.20
1375000000,  20.18
1376000000,  20.37
1377000000,  20.20
1378000000,  20.27
1379000000,  20.22
1380000000,  20.29
1381000000,  20.12
1382000000,  20.16
1383000000,  20.18
1384000000,  20.07
1385000000,  20.16
1386000000,  20.20
1387000000,  20.23
1388000000,  20.14
1389000000,  20.12
1390000000,  20.26
1391000000,  20.36
1392000000,  20.24
1393000000,  20.27
1394000000,  20.27
1395000000,  20.14
1396000000,  20.19
1397000000,  20.09
1398000000,  20.11
1399000000,  20.19
1400000000,  20.35
1401000000,  20.28
1402000000,  20.29
1403000000,  20.40
1404000000,  20.41
1405000000,  20.54
1406000000,  20.57
1407000000,  20.52
1408000000,  20.51
1409000000,  20.28
1410000000,  20.64
1411000000,  20.61
1412000000,  20.61
1413000000,  20.61
1414000000,  20.79
1415000000,  20.58
1416000000,  20.64
1417000000,  20.69
1418000000,  20.61
1419000000,  20.56
1420000000,  20.45
1421000000,  20.28
1422000000,  20.18
1423000000,  20.27
1424000000,  20.21
1425000000,  19.97
1426000000,  19.71
1427000000,  19.77
1428000000,  19.64
1429000000,  19.60
1430000000,  19.47
1431000000,  19.57
1432000000,  19.50
1433000000,  19.64
1434000000,  19.44
1435000000,  19.15
1436000000,  19.19
1437000000,  19.11
1438000000,  19.07
1439000000,  18.92
1440000000,  19.24
1441000000,  19.03
1442000000,  19.14
1443000000,  19.12
1444000000,  18.92
1445000000,  19.00
1446000000,  18.76
1447000000,  18.81
1448000000,  18.81
1449000000,  19.01
1450000000,  18.92
1451000000,  18.85
1452000000,  18.90
1453000000,  18.89
1454000000,  18.91
1455000000,  19.08
1456000000,  18.97
1457000000,  18.89
1458000000,  19.01
1459000000,  18.91
1460000000,  19.06
1461000000,  19.07
1462000000,  19.00
1463000000,  18.92
1464000000,  19.03
1465000000,  18.94
1466000000,  19.07
1467000000,  19.05
1468000000,  19.06
1469000000,  19.15
1470000000,  19.08
1471000000,  19.09
1472000000,  18.96
1473000000,  19.12
1474000000,  19.27
1475000000,  19.10
1476000000,  19.22
1477000000,  19.17
1478000000,  19.25
1479000000,  19.13
1480000000,  19.23
1481000000,  19.27
1482000000,  19.20
1483000000,  19.39
1484000000,  19.29
1485000000,  19.40
1486000000,  19.39
1487000000,  19.52
1488000000,  19.42
1489000000,  19.27
1490000000,  19.48
1491000000,  19.50
1492000000,  19.54
1493000000,  19.54
1494000000,  19.40
1495000000,  19.49
1496000000,  19.55
1497000000,  19.61
1498000000,  19.51
1499000000,  19.46
1500000000,  19.57
1501000000,  19.56
1502000000,  19.64
1503000000,  19.35
1504000000,  19.27
1505000000,  19.61
1506000000,  19.52
1507000000,  19.45
1508000000,  19.59
1509000000,  19.79
1510000000,  19.64
1511000000,  19.59
1512000000,  19.65
1513000000,  19.64
1514000000,  19.75
1515000000,  19.60
1516000000,  19.62
1517000000,  19.67
1518000000,  19.79
1519000000,  19.90
1520000000,  19.99
1521000000,  19.85
1522000000,  19.90
1523000000,  19.81
1524000000,  19.81
1525000000,  19.92
1526000000,  19.95
1527000000,  19.78
1528000000,  19.82
1529000000,  19.95
1530000000,  20.17
1531000000,  20.11
1532000000,  19.94
1533000000,  19.99
1534000000,  20.03
1535000000,  20.12
1536000000,  20.01
1537000000,  19.99
1538000000,  20.11
1539000000,  20.10
1540000000,  20.06
1541000000,  20.04
1542000000,  20.08
1543000000,  20.01
1544000000,  20.01
1545000000,  20.18
1546000000,  20.28
1547000000,  20.25
1548000000,  20.06
1549000000,  20.10
1550000000,  20.08
1551000000,  20.16
1552000000,  20.15
1553000000,  20.06
1554000000,  20.12
1555000000,  20.09
1556000000,  20.29
1557000000,  20.31
1558000000,  20.24
1559000000,  20.28
1560000000,  20.07
1561000000,  20.14
1562000000,  20.12
1563000000,  20.27
1564000000,  20.36
1565000000,  20.25
1566000000,  20.28
1567000000,  20.41
1568000000,  20.41
1569000000,  20.48
1570000000,  20.45
1571000000,  20.50
1572000000,  20.69
1573000000,  20.58
1574000000,  20.43
1575000000,  20.59
1576000000,  20.60
1577000000,  20.43
1578000000,  20.60
1579000000,  20.62
1580000000,  20.60
1581000000,  20.80
1582000000,  20.94
1583000000,  20.89
1584000000,  20.75
1585000000,  20.84
1586000000,  20.89
1587000000,  20.81
1588000000,  20.86
1589000000,  20.90
1590000000,  20.94
1591000000,  21.10
1592000000,  21.16
1593000000,  21.13
1594000000,  21.23
1595000000,  21.23
1596000000,  21.36
1597000000,  21.41
1598000000,  21.35
1599000000,  21.33
1600000000,  21.32
1601000000,  21.34
1602000000,  21.47
1603000000,  21.55
1604000000,  21.54
1605000000,  21.53
1606000000,  21.47
1607000000,  21.60
1608000000,  21.74
1609000000,  21.78
1610000000,  21.79
1611000000,  21.57
1612000000,  21.59
1613000000,  21.91
1614000000,  21.91
1615000000,  21.74
1616000000,  21.90
1617000000,  22.05
1618000000,  21.96
1619000000,  22.00
1620000000,  22.12
1621000000,  22.20
1622000000,  22.16
1623000000,  22.19
1624000000,  22.18
1625000000,  22.08
1626000000,  22.05
1627000000,  22.07
1628000000,  22.03
1629000000,  22.06
1630000000,  22.11
1631000000,  22.08
1632000000,  22.09
1633000000,  21.97
1634000000,  22.02
1635000000,  22.07
1636000000,  22.03
1637000000,  21.95
1638000000,  21.94
1639000000,  22.06
1640000000,  21.94
1641000000,  21.84
1642000000,  21.98
1643000000,  22.00
1644000000,  21.91
1645000000,  21.79
1646000000,  21.78
1647000000,  21.92
1648000000,  21.89
1649000000,  21.80
1650000000,  21.64
1651000000,  21.63
1652000000,  21.60
1653000000,  21.47
1654000000,  21.47
1655000000,  21.57
1656000000,  21.55
1657000000,  21.48
1658000000,  21.49
1659000000,  21.52
1660000000,  21.48
1661000000,  21.35
1662000000,  21.38
1663000000,  21.47
1664000000,  21.47
1665000000,  21.51
1666000000,  21.45
1667000000,  21.37
1668000000,  21.31
1669000000,  21.32
1670000000,  21.48
