#RxL_SN4006_calculated_noise_H_chan
# f (Hz),T_e_cal (K)
1359000000,  23.43
1360000000,  23.49
1361000000,  23.32
1362000000,  23.37
1363000000,  23.52
1364000000,  23.25
1365000000,  23.39
1366000000,  23.23
1367000000,  23.27
1368000000,  23.16
1369000000,  23.11
1370000000,  23.23
1371000000,  23.04
1372000000,  23.01
1373000000,  23.23
1374000000,  23.03
1375000000,  23.21
1376000000,  23.19
1377000000,  22.90
1378000000,  23.01
1379000000,  22.98
1380000000,  23.01
1381000000,  22.96
1382000000,  23.19
1383000000,  23.06
1384000000,  22.94
1385000000,  23.05
1386000000,  22.88
1387000000,  22.96
1388000000,  23.12
1389000000,  23.00
1390000000,  22.91
1391000000,  22.87
1392000000,  23.12
1393000000,  23.16
1394000000,  22.83
1395000000,  23.00
1396000000,  22.83
1397000000,  23.07
1398000000,  23.24
1399000000,  23.17
1400000000,  23.09
1401000000,  23.10
1402000000,  23.10
1403000000,  23.29
1404000000,  23.39
1405000000,  23.35
1406000000,  23.54
1407000000,  23.67
1408000000,  23.74
1409000000,  24.01
1410000000,  24.01
1411000000,  24.17
1412000000,  24.02
1413000000,  24.03
1414000000,  23.98
1415000000,  23.80
1416000000,  23.87
1417000000,  23.80
1418000000,  23.85
1419000000,  23.72
1420000000,  23.54
1421000000,  23.38
1422000000,  23.59
1423000000,  23.53
1424000000,  23.46
1425000000,  23.23
1426000000,  23.42
1427000000,  23.28
1428000000,  23.19
1429000000,  23.13
1430000000,  23.10
1431000000,  23.30
1432000000,  23.09
1433000000,  23.04
1434000000,  22.98
1435000000,  22.90
1436000000,  22.74
1437000000,  22.73
1438000000,  22.78
1439000000,  22.64
1440000000,  22.58
1441000000,  22.50
1442000000,  22.31
1443000000,  22.48
1444000000,  22.38
1445000000,  22.37
1446000000,  22.22
1447000000,  22.37
1448000000,  22.13
1449000000,  22.26
1450000000,  22.31
1451000000,  22.19
1452000000,  22.15
1453000000,  22.16
1454000000,  22.36
1455000000,  22.15
1456000000,  22.20
1457000000,  22.17
1458000000,  22.29
1459000000,  22.17
1460000000,  22.18
1461000000,  22.15
1462000000,  22.15
1463000000,  22.15
1464000000,  22.20
1465000000,  22.19
1466000000,  22.14
1467000000,  22.06
1468000000,  22.11
1469000000,  22.16
1470000000,  22.16
1471000000,  22.13
1472000000,  22.15
1473000000,  22.31
1474000000,  22.25
1475000000,  22.21
1476000000,  22.21
1477000000,  22.23
1478000000,  22.15
1479000000,  22.19
1480000000,  22.36
1481000000,  22.29
1482000000,  22.28
1483000000,  22.31
1484000000,  22.44
1485000000,  22.41
1486000000,  22.31
1487000000,  22.22
1488000000,  22.52
1489000000,  22.60
1490000000,  22.45
1491000000,  22.52
1492000000,  22.69
1493000000,  22.71
1494000000,  22.45
1495000000,  22.52
1496000000,  22.60
1497000000,  22.62
1498000000,  22.68
1499000000,  22.74
1500000000,  22.61
1501000000,  22.71
1502000000,  22.78
1503000000,  22.74
1504000000,  22.67
1505000000,  22.70
1506000000,  22.66
1507000000,  22.72
1508000000,  22.90
1509000000,  22.77
1510000000,  22.80
1511000000,  22.95
1512000000,  22.99
1513000000,  22.92
1514000000,  22.84
1515000000,  22.98
1516000000,  22.88
1517000000,  23.11
1518000000,  23.10
1519000000,  23.31
1520000000,  23.28
1521000000,  23.08
1522000000,  23.13
1523000000,  23.13
1524000000,  23.26
1525000000,  23.26
1526000000,  23.18
1527000000,  23.30
1528000000,  23.34
1529000000,  23.23
1530000000,  23.25
1531000000,  23.41
1532000000,  23.33
1533000000,  23.37
1534000000,  23.51
1535000000,  23.54
1536000000,  23.48
1537000000,  23.43
1538000000,  23.61
1539000000,  23.57
1540000000,  23.56
1541000000,  23.61
1542000000,  23.63
1543000000,  23.68
1544000000,  23.62
1545000000,  23.61
1546000000,  23.57
1547000000,  23.75
1548000000,  23.83
1549000000,  23.76
1550000000,  23.70
1551000000,  23.76
1552000000,  23.83
1553000000,  23.81
1554000000,  24.02
1555000000,  24.01
1556000000,  23.88
1557000000,  24.01
1558000000,  24.12
1559000000,  24.11
1560000000,  24.16
1561000000,  24.31
1562000000,  24.23
1563000000,  24.08
1564000000,  24.10
1565000000,  24.20
1566000000,  24.16
1567000000,  24.20
1568000000,  24.18
1569000000,  24.26
1570000000,  24.36
1571000000,  24.27
1572000000,  24.27
1573000000,  24.34
1574000000,  24.30
1575000000,  24.45
1576000000,  24.40
1577000000,  24.45
1578000000,  24.67
1579000000,  24.71
1580000000,  24.74
1581000000,  24.64
1582000000,  24.46
1583000000,  24.59
1584000000,  24.77
1585000000,  24.73
1586000000,  24.76
1587000000,  24.80
1588000000,  24.83
1589000000,  24.82
1590000000,  24.87
1591000000,  24.91
1592000000,  24.93
1593000000,  24.94
1594000000,  25.13
1595000000,  25.27
1596000000,  25.14
1597000000,  25.23
1598000000,  25.22
1599000000,  25.12
1600000000,  25.28
1601000000,  25.25
1602000000,  25.36
1603000000,  25.39
1604000000,  25.40
1605000000,  25.38
1606000000,  25.36
1607000000,  25.44
1608000000,  25.47
1609000000,  25.47
1610000000,  25.47
1611000000,  25.55
1612000000,  25.62
1613000000,  25.66
1614000000,  25.77
1615000000,  25.89
1616000000,  25.86
1617000000,  25.77
1618000000,  25.76
1619000000,  25.88
1620000000,  25.87
1621000000,  25.89
1622000000,  25.99
1623000000,  26.11
1624000000,  26.10
1625000000,  26.16
1626000000,  26.25
1627000000,  26.28
1628000000,  26.28
1629000000,  26.19
1630000000,  26.26
1631000000,  26.26
1632000000,  26.19
1633000000,  26.32
1634000000,  26.28
1635000000,  26.36
1636000000,  26.39
1637000000,  26.35
1638000000,  26.36
1639000000,  26.23
1640000000,  26.23
1641000000,  26.25
1642000000,  26.27
1643000000,  26.21
1644000000,  26.18
1645000000,  26.32
1646000000,  26.36
1647000000,  26.20
1648000000,  26.14
1649000000,  26.15
1650000000,  26.16
1651000000,  26.25
1652000000,  26.27
1653000000,  26.27
1654000000,  26.14
1655000000,  25.97
1656000000,  26.00
1657000000,  26.11
1658000000,  26.10
1659000000,  26.13
1660000000,  26.14
1661000000,  25.99
1662000000,  26.13
1663000000,  26.17
1664000000,  26.20
1665000000,  26.21
1666000000,  26.08
1667000000,  26.08
1668000000,  26.22
1669000000,  26.42
1670000000,  26.56
