#RxL_SN4006_calculated_noise_V_chan
# f (Hz),T_e_cal (K)
1425000000,  20.98
1426000000,  20.79
1427000000,  20.85
1428000000,  20.77
1429000000,  20.76
1430000000,  20.57
1431000000,  20.45
1432000000,  20.36
1433000000,  20.55
1434000000,  20.40
1435000000,  20.28
1436000000,  20.33
1437000000,  20.23
1438000000,  20.29
1439000000,  20.21
1440000000,  20.22
1441000000,  20.15
1442000000,  20.04
1443000000,  19.94
1444000000,  19.80
1445000000,  19.76
1446000000,  19.85
1447000000,  19.75
1448000000,  19.82
1449000000,  19.73
1450000000,  19.78
1451000000,  19.76
1452000000,  19.75
1453000000,  19.82
1454000000,  19.85
1455000000,  19.68
1456000000,  19.70
1457000000,  19.90
1458000000,  19.94
1459000000,  20.02
1460000000,  19.88
1461000000,  19.85
1462000000,  20.02
1463000000,  19.93
1464000000,  19.91
1465000000,  19.82
1466000000,  19.82
1467000000,  19.84
1468000000,  19.95
1469000000,  19.85
1470000000,  19.96
1471000000,  19.91
1472000000,  19.83
1473000000,  20.03
1474000000,  19.92
1475000000,  20.03
1476000000,  20.03
1477000000,  20.06
1478000000,  20.17
1479000000,  20.22
1480000000,  20.20
1481000000,  20.21
1482000000,  19.91
1483000000,  20.13
1484000000,  20.29
1485000000,  20.25
1486000000,  20.32
1487000000,  20.21
1488000000,  20.24
1489000000,  20.20
1490000000,  20.28
1491000000,  20.30
1492000000,  20.31
1493000000,  20.32
1494000000,  20.53
1495000000,  20.34
1496000000,  20.32
1497000000,  20.34
1498000000,  20.38
1499000000,  20.21
1500000000,  20.28
1501000000,  20.38
1502000000,  20.33
1503000000,  20.38
1504000000,  20.38
1505000000,  20.39
1506000000,  20.40
1507000000,  20.36
1508000000,  20.40
1509000000,  20.31
1510000000,  20.24
1511000000,  20.16
1512000000,  20.20
1513000000,  20.21
1514000000,  20.26
1515000000,  20.31
1516000000,  20.38
1517000000,  20.36
1518000000,  20.35
1519000000,  20.48
1520000000,  20.41
1521000000,  20.57
1522000000,  20.43
1523000000,  20.44
1524000000,  20.51
1525000000,  20.61
1526000000,  20.45
1527000000,  20.48
1528000000,  20.63
1529000000,  20.60
1530000000,  20.52
1531000000,  20.60
1532000000,  20.54
1533000000,  20.53
1534000000,  20.80
1535000000,  20.58
1536000000,  20.70
1537000000,  20.69
1538000000,  20.65
1539000000,  20.72
1540000000,  20.81
1541000000,  20.79
1542000000,  20.69
1543000000,  20.60
1544000000,  20.51
1545000000,  20.67
1546000000,  20.79
1547000000,  20.73
1548000000,  20.71
1549000000,  20.80
1550000000,  20.54
1551000000,  20.66
1552000000,  20.84
1553000000,  20.69
1554000000,  20.61
1555000000,  20.72
1556000000,  20.80
1557000000,  20.84
1558000000,  20.93
1559000000,  20.89
1560000000,  20.81
1561000000,  20.79
1562000000,  20.78
1563000000,  20.99
1564000000,  21.00
1565000000,  21.00
1566000000,  21.04
1567000000,  21.03
1568000000,  21.03
1569000000,  21.15
1570000000,  21.20
1571000000,  21.16
1572000000,  21.00
1573000000,  21.00
1574000000,  20.98
1575000000,  21.04
1576000000,  21.19
1577000000,  21.23
1578000000,  21.21
1579000000,  21.27
1580000000,  21.23
1581000000,  21.31
1582000000,  21.59
1583000000,  21.62
1584000000,  21.55
1585000000,  21.56
1586000000,  21.48
1587000000,  21.35
1588000000,  21.53
1589000000,  21.70
1590000000,  21.75
1591000000,  21.81
1592000000,  21.73
1593000000,  21.93
1594000000,  22.03
1595000000,  21.93
1596000000,  21.92
1597000000,  22.07
1598000000,  22.13
1599000000,  22.16
1600000000,  21.99
1601000000,  21.98
1602000000,  22.03
1603000000,  22.15
1604000000,  22.22
1605000000,  22.25
1606000000,  22.32
1607000000,  22.36
1608000000,  22.34
1609000000,  22.24
1610000000,  22.38
1611000000,  22.47
1612000000,  22.51
1613000000,  22.47
1614000000,  22.38
1615000000,  22.55
1616000000,  22.56
1617000000,  22.54
1618000000,  22.52
1619000000,  22.67
1620000000,  22.85
1621000000,  22.75
1622000000,  22.63
1623000000,  22.64
1624000000,  22.65
1625000000,  22.70
1626000000,  22.64
1627000000,  22.45
1628000000,  22.39
1629000000,  22.47
1630000000,  22.57
1631000000,  22.59
1632000000,  22.51
1633000000,  22.43
1634000000,  22.39
1635000000,  22.30
1636000000,  22.19
1637000000,  22.19
1638000000,  22.22
1639000000,  22.24
1640000000,  22.17
1641000000,  22.16
1642000000,  22.21
1643000000,  22.04
1644000000,  22.08
1645000000,  22.15
1646000000,  22.15
1647000000,  22.15
1648000000,  22.07
1649000000,  22.05
1650000000,  21.88
1651000000,  21.81
1652000000,  21.91
1653000000,  21.89
1654000000,  21.81
1655000000,  21.65
1656000000,  21.61
1657000000,  21.62
1658000000,  21.62
1659000000,  21.69
1660000000,  21.74
1661000000,  21.69
1662000000,  21.51
1663000000,  21.51
1664000000,  21.56
1665000000,  21.55
1666000000,  21.60
1667000000,  21.58
1668000000,  21.49
1669000000,  21.51
1670000000,  21.66
