#RxL_SN4002_calculated_noise_H_chan
# f (Hz),T_e_cal (K)
1455000000,  21.94
1456000000,  21.93
1457000000,  21.81
1458000000,  21.67
1459000000,  21.75
1460000000,  21.74
1461000000,  21.74
1462000000,  21.68
1463000000,  21.63
1464000000,  21.68
1465000000,  21.69
1466000000,  21.69
1467000000,  21.81
1468000000,  21.76
1469000000,  21.75
1470000000,  21.91
1471000000,  21.75
1472000000,  21.63
1473000000,  21.91
1474000000,  21.90
1475000000,  21.66
1476000000,  21.73
1477000000,  21.62
1478000000,  21.79
1479000000,  21.78
1480000000,  21.76
1481000000,  21.74
1482000000,  21.87
1483000000,  21.87
1484000000,  21.88
1485000000,  21.98
1486000000,  22.00
1487000000,  22.00
1488000000,  22.08
1489000000,  22.12
1490000000,  22.14
1491000000,  21.92
1492000000,  21.98
1493000000,  22.00
1494000000,  22.04
1495000000,  22.06
1496000000,  22.01
1497000000,  21.98
1498000000,  21.94
1499000000,  22.07
1500000000,  22.27
1501000000,  22.01
1502000000,  22.09
1503000000,  22.08
1504000000,  22.33
1505000000,  22.25
1506000000,  22.15
1507000000,  22.31
1508000000,  22.53
1509000000,  22.56
1510000000,  22.67
1511000000,  22.51
1512000000,  22.78
1513000000,  22.81
1514000000,  22.79
1515000000,  22.71
1516000000,  22.66
1517000000,  22.78
1518000000,  22.86
1519000000,  22.93
1520000000,  22.93
1521000000,  22.84
1522000000,  23.02
1523000000,  23.09
1524000000,  23.07
1525000000,  23.15
1526000000,  23.18
1527000000,  23.25
1528000000,  23.19
1529000000,  23.18
1530000000,  23.39
1531000000,  23.40
1532000000,  23.42
1533000000,  23.39
1534000000,  23.34
1535000000,  23.32
1536000000,  23.43
1537000000,  23.59
1538000000,  23.61
1539000000,  23.57
1540000000,  23.50
1541000000,  23.41
1542000000,  23.35
1543000000,  23.46
1544000000,  23.52
1545000000,  23.59
1546000000,  23.70
1547000000,  23.76
1548000000,  23.69
1549000000,  23.68
1550000000,  23.59
1551000000,  23.77
1552000000,  23.90
1553000000,  23.84
1554000000,  23.86
1555000000,  23.89
1556000000,  23.84
1557000000,  23.95
1558000000,  24.03
1559000000,  23.99
1560000000,  24.06
1561000000,  24.02
1562000000,  24.09
1563000000,  24.22
1564000000,  24.25
1565000000,  24.30
1566000000,  24.35
1567000000,  24.31
1568000000,  24.25
1569000000,  24.32
1570000000,  24.40
1571000000,  24.41
1572000000,  24.49
1573000000,  24.34
1574000000,  24.41
1575000000,  24.48
1576000000,  24.48
1577000000,  24.43
1578000000,  24.43
1579000000,  24.57
1580000000,  24.54
1581000000,  24.70
1582000000,  24.78
1583000000,  24.72
1584000000,  24.67
1585000000,  24.71
1586000000,  24.81
1587000000,  24.73
1588000000,  24.73
1589000000,  24.81
1590000000,  24.88
1591000000,  24.89
1592000000,  24.81
1593000000,  24.83
1594000000,  24.91
1595000000,  24.90
1596000000,  24.93
1597000000,  25.04
1598000000,  25.11
1599000000,  25.26
1600000000,  25.35
1601000000,  25.07
1602000000,  24.88
1603000000,  25.14
1604000000,  25.31
1605000000,  25.35
1606000000,  25.30
1607000000,  25.28
1608000000,  25.37
1609000000,  25.40
1610000000,  25.37
1611000000,  25.46
1612000000,  25.43
1613000000,  25.41
1614000000,  25.42
1615000000,  25.44
1616000000,  25.47
1617000000,  25.41
1618000000,  25.30
1619000000,  25.33
1620000000,  25.45
1621000000,  25.51
1622000000,  25.56
1623000000,  25.49
1624000000,  25.43
1625000000,  25.44
1626000000,  25.52
1627000000,  25.60
1628000000,  25.73
1629000000,  25.73
1630000000,  25.74
1631000000,  25.73
1632000000,  25.65
1633000000,  25.62
1634000000,  25.73
1635000000,  25.71
1636000000,  25.79
1637000000,  25.88
1638000000,  25.83
1639000000,  25.90
1640000000,  25.85
1641000000,  25.80
1642000000,  25.85
1643000000,  25.91
1644000000,  25.94
1645000000,  25.99
1646000000,  25.91
1647000000,  25.80
1648000000,  25.85
1649000000,  25.91
1650000000,  25.83
1651000000,  25.74
1652000000,  25.78
1653000000,  25.83
1654000000,  25.73
1655000000,  25.68
1656000000,  25.67
1657000000,  25.66
1658000000,  25.57
1659000000,  25.78
1660000000,  25.98
1661000000,  25.91
1662000000,  25.86
1663000000,  25.72
1664000000,  25.61
1665000000,  25.72
1666000000,  25.85
1667000000,  25.71
1668000000,  25.65
1669000000,  25.72
1670000000,  25.75
