#RxL_SN4004_calculated_noise_V_chan
# f (Hz),T_e_cal (K)
1409000000,  19.07
1410000000,  19.36
1411000000,  19.27
1412000000,  19.53
1413000000,  19.70
1414000000,  19.74
1415000000,  19.54
1416000000,  19.82
1417000000,  19.59
1418000000,  19.55
1419000000,  19.37
1420000000,  19.12
1421000000,  19.22
1422000000,  19.11
1423000000,  18.90
1424000000,  18.89
1425000000,  18.81
1426000000,  18.80
1427000000,  18.71
1428000000,  18.63
1429000000,  18.62
1430000000,  18.60
1431000000,  18.55
1432000000,  18.53
1433000000,  18.41
1434000000,  18.51
1435000000,  18.30
1436000000,  18.05
1437000000,  18.06
1438000000,  18.15
1439000000,  18.11
1440000000,  18.04
1441000000,  18.00
1442000000,  17.79
1443000000,  17.90
1444000000,  17.89
1445000000,  17.77
1446000000,  17.97
1447000000,  17.82
1448000000,  17.76
1449000000,  17.88
1450000000,  17.74
1451000000,  17.81
1452000000,  17.80
1453000000,  17.83
1454000000,  17.85
1455000000,  18.00
1456000000,  17.79
1457000000,  17.87
1458000000,  18.02
1459000000,  17.96
1460000000,  17.98
1461000000,  17.88
1462000000,  17.97
1463000000,  18.04
1464000000,  17.92
1465000000,  17.89
1466000000,  17.98
1467000000,  17.90
1468000000,  18.00
1469000000,  18.13
1470000000,  17.97
1471000000,  18.08
1472000000,  18.00
1473000000,  17.96
1474000000,  18.08
1475000000,  18.18
1476000000,  18.17
1477000000,  17.98
1478000000,  18.06
1479000000,  18.31
1480000000,  18.31
1481000000,  18.18
1482000000,  18.26
1483000000,  18.21
1484000000,  18.30
1485000000,  18.29
1486000000,  18.33
1487000000,  18.33
1488000000,  18.25
1489000000,  18.46
1490000000,  18.50
1491000000,  18.46
1492000000,  18.43
1493000000,  18.45
1494000000,  18.39
1495000000,  18.40
1496000000,  18.44
1497000000,  18.33
1498000000,  18.30
1499000000,  18.52
1500000000,  18.38
1501000000,  18.44
1502000000,  18.47
1503000000,  18.40
1504000000,  18.32
1505000000,  18.45
1506000000,  18.64
1507000000,  18.55
1508000000,  18.70
1509000000,  18.70
1510000000,  18.69
1511000000,  18.66
1512000000,  18.67
1513000000,  18.72
1514000000,  18.66
1515000000,  18.71
1516000000,  18.68
1517000000,  18.71
1518000000,  18.85
1519000000,  18.78
1520000000,  18.91
1521000000,  18.89
1522000000,  18.88
1523000000,  18.79
1524000000,  18.75
1525000000,  18.79
1526000000,  18.83
1527000000,  18.98
1528000000,  18.88
1529000000,  19.01
1530000000,  18.93
1531000000,  18.87
1532000000,  18.94
1533000000,  18.98
1534000000,  19.06
1535000000,  19.05
1536000000,  18.95
1537000000,  18.89
1538000000,  19.02
1539000000,  19.02
1540000000,  18.96
1541000000,  18.97
1542000000,  19.00
1543000000,  19.05
1544000000,  19.13
1545000000,  19.08
1546000000,  19.14
1547000000,  19.25
1548000000,  19.18
1549000000,  19.09
1550000000,  19.22
1551000000,  19.30
1552000000,  19.28
1553000000,  19.29
1554000000,  19.24
1555000000,  19.12
1556000000,  19.14
1557000000,  19.30
1558000000,  19.25
1559000000,  19.26
1560000000,  19.24
1561000000,  19.28
1562000000,  19.37
1563000000,  19.41
1564000000,  19.36
1565000000,  19.34
1566000000,  19.33
1567000000,  19.42
1568000000,  19.55
1569000000,  19.55
1570000000,  19.59
1571000000,  19.72
1572000000,  19.75
1573000000,  19.60
1574000000,  19.59
1575000000,  19.68
1576000000,  19.83
1577000000,  19.95
1578000000,  19.88
1579000000,  19.99
1580000000,  20.03
1581000000,  20.12
1582000000,  20.23
1583000000,  20.22
1584000000,  20.27
1585000000,  20.18
1586000000,  20.27
1587000000,  20.43
1588000000,  20.43
1589000000,  20.41
1590000000,  20.36
1591000000,  20.50
1592000000,  20.56
1593000000,  20.59
1594000000,  20.67
