#RxL_SN4001_calculated_noise_V_chan
# f (Hz),   T_e_cal (K) 
1556000000,  23.48
1557000000,  23.45
1558000000,  23.48
1559000000,  23.49
1560000000,  23.50
1561000000,  23.61
1562000000,  23.58
1563000000,  23.62
1564000000,  23.56
1565000000,  23.51
1566000000,  23.59
1567000000,  23.58
1568000000,  23.63
1569000000,  23.58
1570000000,  23.68
1571000000,  23.73
1572000000,  23.83
1573000000,  23.75
1574000000,  23.74
1575000000,  23.95
1576000000,  23.99
1577000000,  23.87
1578000000,  23.73
1579000000,  23.96
1580000000,  24.13
1581000000,  24.21
1582000000,  24.25
1583000000,  24.04
1584000000,  24.01
1585000000,  24.20
1586000000,  24.27
1587000000,  24.38
1588000000,  24.19
1589000000,  24.20
1590000000,  24.30
1591000000,  24.27
1592000000,  24.39
1593000000,  24.43
1594000000,  24.52
1595000000,  24.63
1596000000,  24.58
1597000000,  24.63
1598000000,  24.69
1599000000,  24.74
1600000000,  24.88
1601000000,  24.75
1602000000,  24.66
1603000000,  24.76
1604000000,  24.78
1605000000,  24.70
1606000000,  24.71
1607000000,  24.76
1608000000,  24.90
1609000000,  24.97
1610000000,  24.93
1611000000,  24.99
1612000000,  24.97
1613000000,  25.01
1614000000,  25.01
1615000000,  24.98
1616000000,  25.15
1617000000,  25.03
1618000000,  24.98
1619000000,  25.04
1620000000,  24.89
1621000000,  24.97
1622000000,  25.09
1623000000,  25.08
1624000000,  25.01
1625000000,  25.08
1626000000,  25.08
1627000000,  25.14
1628000000,  25.08
1629000000,  24.97
1630000000,  25.08
1631000000,  25.20
1632000000,  25.29
1633000000,  25.18
1634000000,  25.15
1635000000,  25.06
1636000000,  24.95
1637000000,  25.01
1638000000,  25.12
1639000000,  25.09
1640000000,  25.07
1641000000,  24.98
1642000000,  24.93
1643000000,  24.88
1644000000,  24.93
1645000000,  24.88
1646000000,  24.75
1647000000,  24.76
1648000000,  24.75
1649000000,  24.59
1650000000,  24.52
1651000000,  24.54
1652000000,  24.53
1653000000,  24.46
1654000000,  24.44
1655000000,  24.51
1656000000,  24.42
1657000000,  24.27
1658000000,  24.23
1659000000,  24.27
1660000000,  24.21
1661000000,  24.19
1662000000,  24.26
1663000000,  24.13
1664000000,  24.14
1665000000,  24.18
1666000000,  24.05
1667000000,  24.05
1668000000,  23.96
1669000000,  23.78
1670000000,  23.80
