#RxL_SN4001_calculated_noise_H_chan
# f (Hz),   T_e_cal (K)
1471000000,  21.85
1472000000,  21.76
1473000000,  21.84
1474000000,  21.96
1475000000,  21.89
1476000000,  21.94
1477000000,  21.83
1478000000,  21.89
1479000000,  21.80
1480000000,  21.92
1481000000,  22.03
1482000000,  21.94
1483000000,  22.11
1484000000,  22.11
1485000000,  21.97
1486000000,  22.12
1487000000,  22.15
1488000000,  22.12
1489000000,  22.06
1490000000,  22.04
1491000000,  22.15
1492000000,  22.18
1493000000,  22.21
1494000000,  22.24
1495000000,  22.33
1496000000,  22.25
1497000000,  22.24
1498000000,  22.29
1499000000,  22.31
1500000000,  22.22
1501000000,  22.24
1502000000,  22.27
1503000000,  22.30
1504000000,  22.50
1505000000,  22.65
1506000000,  22.68
1507000000,  22.72
1508000000,  22.52
1509000000,  22.56
1510000000,  22.63
1511000000,  22.66
1512000000,  22.70
1513000000,  22.64
1514000000,  22.84
1515000000,  22.87
1516000000,  22.78
1517000000,  22.80
1518000000,  22.96
1519000000,  22.95
1520000000,  22.94
1521000000,  23.09
1522000000,  23.30
1523000000,  23.16
1524000000,  23.00
1525000000,  23.06
1526000000,  23.06
1527000000,  23.04
1528000000,  23.14
1529000000,  23.13
1530000000,  23.19
1531000000,  23.31
1532000000,  23.28
1533000000,  23.41
1534000000,  23.33
1535000000,  23.33
1536000000,  23.34
1537000000,  23.20
1538000000,  23.24
1539000000,  23.24
1540000000,  23.31
1541000000,  23.35
1542000000,  23.30
1543000000,  23.33
1544000000,  23.24
1545000000,  23.29
1546000000,  23.22
1547000000,  23.23
1548000000,  23.24
1549000000,  23.33
1550000000,  23.34
1551000000,  23.37
1552000000,  23.41
1553000000,  23.41
1554000000,  23.54
1555000000,  23.58
1556000000,  23.47
1557000000,  23.48
1558000000,  23.48
1559000000,  23.64
1560000000,  23.57
1561000000,  23.74
1562000000,  23.71
1563000000,  23.59
1564000000,  23.61
1565000000,  23.63
1566000000,  23.67
1567000000,  23.74
1568000000,  23.91
1569000000,  23.90
1570000000,  23.83
1571000000,  23.59
1572000000,  23.63
1573000000,  23.73
1574000000,  23.74
1575000000,  23.77
1576000000,  23.80
1577000000,  23.85
1578000000,  23.87
1579000000,  23.78
1580000000,  23.67
1581000000,  23.67
1582000000,  23.72
1583000000,  23.90
1584000000,  23.89
1585000000,  23.93
1586000000,  24.09
1587000000,  23.96
1588000000,  23.95
1589000000,  24.00
1590000000,  24.04
1591000000,  24.03
1592000000,  23.87
1593000000,  24.02
1594000000,  24.13
1595000000,  24.17
1596000000,  24.21
1597000000,  24.16
1598000000,  24.19
1599000000,  24.17
1600000000,  24.24
1601000000,  24.36
1602000000,  24.27
1603000000,  24.28
1604000000,  24.36
1605000000,  24.32
1606000000,  24.32
1607000000,  24.45
1608000000,  24.51
1609000000,  24.54
1610000000,  24.68
1611000000,  24.63
1612000000,  24.56
1613000000,  24.62
1614000000,  24.53
1615000000,  24.57
1616000000,  24.69
1617000000,  24.71
1618000000,  24.72
1619000000,  24.84
1620000000,  24.93
1621000000,  25.01
1622000000,  24.91
1623000000,  24.97
1624000000,  25.07
1625000000,  25.04
1626000000,  25.02
1627000000,  25.02
1628000000,  25.09
1629000000,  25.20
1630000000,  25.06
1631000000,  25.00
1632000000,  25.06
1633000000,  24.96
1634000000,  25.09
1635000000,  25.09
1636000000,  25.03
1637000000,  25.10
1638000000,  25.09
1639000000,  25.13
1640000000,  25.18
1641000000,  25.19
1642000000,  25.28
1643000000,  25.32
1644000000,  25.21
1645000000,  25.07
1646000000,  25.01
1647000000,  25.20
1648000000,  25.21
1649000000,  25.01
1650000000,  24.94
1651000000,  24.94
1652000000,  25.08
1653000000,  25.18
1654000000,  25.08
1655000000,  24.98
1656000000,  24.95
1657000000,  24.98
1658000000,  25.01
1659000000,  25.06
1660000000,  25.04
1661000000,  24.80
1662000000,  24.87
1663000000,  24.90
1664000000,  24.89
1665000000,  24.89
1666000000,  24.76
1667000000,  24.81
1668000000,  24.74
1669000000,  24.67
1670000000,  24.78
