% f (Hz),   G_rec (dB), T_e_rec (K) 
1487000000,  54.35,   9.33
1488000000,  54.37,   9.35
1489000000,  54.35,   9.35
1490000000,  54.36,   9.29
1491000000,  54.37,   9.24
1492000000,  54.37,   9.22
1493000000,  54.38,   9.28
1494000000,  54.38,   9.27
1495000000,  54.39,   9.29
1496000000,  54.39,   9.41
1497000000,  54.40,   9.26
1498000000,  54.40,   9.31
1499000000,  54.41,   9.22
1500000000,  54.40,   9.33
1501000000,  54.41,   9.18
1502000000,  54.42,   9.22
1503000000,  54.42,   9.19
1504000000,  54.42,   9.31
1505000000,  54.43,   9.21
1506000000,  54.43,   9.22
1507000000,  54.45,   9.20
1508000000,  54.46,   9.19
1509000000,  54.45,   9.17
1510000000,  54.46,   9.14
1511000000,  54.47,   9.11
1512000000,  54.48,   9.03
1513000000,  54.48,   9.07
1514000000,  54.48,   9.00
1515000000,  54.49,   9.08
1516000000,  54.50,   9.05
1517000000,  54.51,   8.92
1518000000,  54.51,   8.93
1519000000,  54.52,   8.97
1520000000,  54.52,   8.84
1521000000,  54.52,   8.84
1522000000,  54.53,   8.87
1523000000,  54.54,   8.95
1524000000,  54.55,   8.95
1525000000,  54.55,   8.89
1526000000,  54.56,   8.90
1527000000,  54.57,   8.89
1528000000,  54.57,   8.99
1529000000,  54.57,   8.94
1530000000,  54.57,   8.87
1531000000,  54.58,   8.97
1532000000,  54.58,   8.96
1533000000,  54.58,   8.87
1534000000,  54.59,   8.95
1535000000,  54.59,   8.84
1536000000,  54.59,   8.85
1537000000,  54.60,   8.81
1538000000,  54.60,   8.67
1539000000,  54.60,   8.74
1540000000,  54.60,   8.77
1541000000,  54.61,   8.61
1542000000,  54.62,   8.66
1543000000,  54.62,   8.75
1544000000,  54.62,   8.66
1545000000,  54.62,   8.67
1546000000,  54.63,   8.63
1547000000,  54.63,   8.54
1548000000,  54.63,   8.56
1549000000,  54.63,   8.61
1550000000,  54.65,   8.57
1551000000,  54.64,   8.48
1552000000,  54.63,   8.45
1553000000,  54.64,   8.49
1554000000,  54.64,   8.51
1555000000,  54.64,   8.43
1556000000,  54.64,   8.44
1557000000,  54.64,   8.51
1558000000,  54.64,   8.35
1559000000,  54.64,   8.39
1560000000,  54.64,   8.48
1561000000,  54.63,   8.40
1562000000,  54.63,   8.39
1563000000,  54.63,   8.49
1564000000,  54.63,   8.55
1565000000,  54.63,   8.48
1566000000,  54.62,   8.50
1567000000,  54.61,   8.43
1568000000,  54.61,   8.52
1569000000,  54.63,   8.48
1570000000,  54.61,   8.42
1571000000,  54.60,   8.34
1572000000,  54.61,   8.46
1573000000,  54.61,   8.52
1574000000,  54.60,   8.41
1575000000,  54.59,   8.43
1576000000,  54.60,   8.66
1577000000,  54.59,   8.60
1578000000,  54.59,   8.60
1579000000,  54.59,   8.58
1580000000,  54.58,   8.47
1581000000,  54.58,   8.54
1582000000,  54.57,   8.56
1583000000,  54.56,   8.62
1584000000,  54.57,   8.58
1585000000,  54.56,   8.61
1586000000,  54.56,   8.58
1587000000,  54.56,   8.64
1588000000,  54.55,   8.75
1589000000,  54.54,   8.67
1590000000,  54.54,   8.67
1591000000,  54.54,   8.67
1592000000,  54.53,   8.63
1593000000,  54.52,   8.68
1594000000,  54.52,   8.71
1595000000,  54.52,   8.71
1596000000,  54.51,   8.69
1597000000,  54.50,   8.72
1598000000,  54.49,   8.83
1599000000,  54.48,   8.77
1600000000,  54.49,   8.68
1601000000,  54.48,   8.75
1602000000,  54.47,   8.77
1603000000,  54.47,   8.78
1604000000,  54.46,   8.85
1605000000,  54.45,   8.91
1606000000,  54.44,   8.81
1607000000,  54.44,   8.62
1608000000,  54.44,   8.66
1609000000,  54.43,   8.83
1610000000,  54.42,   8.79
1611000000,  54.42,   8.70
1612000000,  54.41,   8.69
1613000000,  54.39,   8.74
1614000000,  54.40,   8.74
1615000000,  54.38,   8.70
1616000000,  54.37,   8.73
1617000000,  54.37,   8.70
1618000000,  54.37,   8.72
1619000000,  54.37,   8.75
1620000000,  54.35,   8.75
1621000000,  54.34,   8.81
1622000000,  54.35,   8.86
1623000000,  54.34,   8.80
1624000000,  54.33,   8.77
1625000000,  54.33,   8.83
1626000000,  54.32,   8.82
1627000000,  54.32,   8.77
1628000000,  54.31,   8.67
1629000000,  54.30,   8.64
1630000000,  54.30,   8.64
1631000000,  54.31,   8.69
1632000000,  54.29,   8.68
1633000000,  54.29,   8.64
1634000000,  54.28,   8.60
1635000000,  54.28,   8.62
1636000000,  54.28,   8.65
1637000000,  54.28,   8.57
1638000000,  54.27,   8.48
1639000000,  54.27,   8.49
1640000000,  54.27,   8.53
1641000000,  54.28,   8.46
1642000000,  54.27,   8.36
1643000000,  54.27,   8.39
1644000000,  54.25,   8.46
1645000000,  54.25,   8.49
1646000000,  54.26,   8.39
1647000000,  54.26,   8.30
1648000000,  54.25,   8.41
1649000000,  54.25,   8.39
1650000000,  54.26,   8.27
1651000000,  54.26,   8.28
1652000000,  54.26,   8.31
1653000000,  54.25,   8.37
1654000000,  54.25,   8.42
1655000000,  54.25,   8.29
1656000000,  54.24,   8.27
1657000000,  54.25,   8.34
1658000000,  54.25,   8.35
1659000000,  54.25,   8.28
1660000000,  54.25,   8.31
1661000000,  54.25,   8.41
1662000000,  54.25,   8.35
1663000000,  54.26,   8.31
1664000000,  54.25,   8.38
1665000000,  54.26,   8.41
1666000000,  54.25,   8.39
1667000000,  54.25,   8.41
1668000000,  54.25,   8.47
1669000000,  54.24,   8.48
1670000000,  54.23,   8.50
