% f (Hz),	G_rec (dB),	T_e_rec (K)
1357000000.000000,	59.048563,	6.453763
1358000000.000000,	59.003933,	6.613353
1359000000.000000,	59.005438,	6.497471
1360000000.000000,	58.974380,	6.670065
1361000000.000000,	58.968282,	6.663507
1362000000.000000,	58.967664,	6.577522
1363000000.000000,	58.977497,	6.571277
1364000000.000000,	58.953001,	6.559241
1365000000.000000,	58.957915,	6.524950
1366000000.000000,	58.953439,	6.563751
1367000000.000000,	58.953868,	6.629578
1368000000.000000,	58.958930,	6.638946
1369000000.000000,	58.947624,	6.600014
1370000000.000000,	58.961612,	6.614771
1371000000.000000,	58.967063,	6.451627
1372000000.000000,	58.963952,	6.609137
1373000000.000000,	58.959178,	6.667053
1374000000.000000,	58.964046,	6.649415
1375000000.000000,	58.976260,	6.626252
1376000000.000000,	58.978412,	6.615348
1377000000.000000,	58.987308,	6.616965
1378000000.000000,	59.011423,	6.586498
1379000000.000000,	58.993744,	6.638443
1380000000.000000,	58.992322,	6.852440
1381000000.000000,	59.015076,	6.780913
1382000000.000000,	58.990768,	6.701594
1383000000.000000,	58.984849,	6.738350
1384000000.000000,	58.987119,	6.790079
1385000000.000000,	58.995199,	6.812127
1386000000.000000,	58.964698,	6.910642
1387000000.000000,	58.994450,	6.747099
1388000000.000000,	58.966946,	6.991468
1389000000.000000,	58.965234,	6.953122
1390000000.000000,	58.970928,	6.880817
1391000000.000000,	58.955735,	6.991527
1392000000.000000,	58.980041,	6.956921
1393000000.000000,	58.964938,	7.013220
1394000000.000000,	58.956555,	7.006515
1395000000.000000,	58.973090,	6.921587
1396000000.000000,	58.980781,	6.825905
1397000000.000000,	58.965776,	7.081594
1398000000.000000,	58.977300,	7.077433
1399000000.000000,	58.976506,	7.158031
1400000000.000000,	58.976605,	7.136096
1401000000.000000,	58.965220,	7.242483
1402000000.000000,	58.996601,	7.204859
1403000000.000000,	59.001170,	7.173638
1404000000.000000,	58.978328,	7.525148
1405000000.000000,	58.973114,	7.384735
1406000000.000000,	58.965843,	7.581717
1407000000.000000,	58.993763,	7.476074
1408000000.000000,	58.941733,	7.706906
1409000000.000000,	58.939580,	7.761356
1410000000.000000,	58.912711,	7.913364
1411000000.000000,	58.906879,	7.866384
1412000000.000000,	58.887102,	8.001250
1413000000.000000,	58.877745,	8.031287
1414000000.000000,	58.869833,	8.142342
1415000000.000000,	58.849694,	8.367327
1416000000.000000,	58.834429,	8.563442
1417000000.000000,	58.834896,	8.710636
1418000000.000000,	58.808547,	8.660608
1419000000.000000,	58.813913,	8.770045
1420000000.000000,	58.820363,	8.899627
1421000000.000000,	58.803543,	8.953455
1422000000.000000,	58.826064,	8.932974
1423000000.000000,	58.843212,	8.828323
1424000000.000000,	58.873073,	8.655654
1425000000.000000,	58.881079,	8.822469
1426000000.000000,	58.890953,	8.697764
1427000000.000000,	58.924874,	8.477714
1428000000.000000,	58.932844,	8.362725
1429000000.000000,	58.936237,	8.241993
1430000000.000000,	58.958715,	8.162892
1431000000.000000,	58.952769,	8.182051
1432000000.000000,	58.962692,	7.808526
1433000000.000000,	58.944209,	7.945787
1434000000.000000,	58.949426,	8.005463
1435000000.000000,	58.963353,	7.764291
1436000000.000000,	58.940572,	7.740109
1437000000.000000,	58.952880,	7.751503
1438000000.000000,	58.935962,	7.663356
1439000000.000000,	58.944047,	7.734030
1440000000.000000,	58.923734,	7.668081
1441000000.000000,	58.917372,	7.760247
1442000000.000000,	58.930032,	7.628954
1443000000.000000,	58.917833,	7.727531
1444000000.000000,	58.927935,	7.529693
1445000000.000000,	58.925235,	7.673767
1446000000.000000,	58.904379,	7.661968
1447000000.000000,	58.895501,	7.661816
1448000000.000000,	58.877597,	7.745359
1449000000.000000,	58.878301,	7.719248
1450000000.000000,	58.885319,	7.691389
1451000000.000000,	58.882537,	7.753941
1452000000.000000,	58.878163,	7.767392
1453000000.000000,	58.860200,	7.852965
1454000000.000000,	58.845852,	7.712423
1455000000.000000,	58.843432,	7.905314
1456000000.000000,	58.829913,	7.867329
1457000000.000000,	58.811829,	7.795613
1458000000.000000,	58.818941,	7.740679
1459000000.000000,	58.813826,	7.662019
1460000000.000000,	58.795406,	7.726070
1461000000.000000,	58.806223,	7.753132
1462000000.000000,	58.813262,	7.731966
1463000000.000000,	58.799070,	7.685260
1464000000.000000,	58.777471,	7.710777
1465000000.000000,	58.756685,	7.793792
1466000000.000000,	58.776691,	7.670763
1467000000.000000,	58.778837,	7.570938
1468000000.000000,	58.742683,	7.641310
1469000000.000000,	58.742481,	7.674266
1470000000.000000,	58.743380,	7.631207
