% f (Hz),G_rec (dB),T_e_rec (K)
1427000000,  54.78,   8.77
1428000000,  54.78,   8.84
1429000000,  54.77,   8.82
1430000000,  54.78,   8.68
1431000000,  54.77,   8.72
1432000000,  54.76,   8.70
1433000000,  54.76,   8.49
1434000000,  54.76,   8.63
1435000000,  54.75,   8.61
1436000000,  54.75,   8.65
1437000000,  54.74,   8.68
1438000000,  54.74,   8.72
1439000000,  54.74,   8.70
1440000000,  54.73,   8.64
1441000000,  54.73,   8.72
1442000000,  54.73,   8.76
1443000000,  54.71,   8.94
1444000000,  54.71,   9.07
1445000000,  54.71,   9.07
1446000000,  54.70,   9.01
1447000000,  54.69,   9.24
1448000000,  54.69,   9.12
1449000000,  54.69,   9.11
1450000000,  54.68,   9.14
1451000000,  54.68,   9.25
1452000000,  54.67,   9.00
1453000000,  54.66,   9.02
1454000000,  54.66,   9.13
1455000000,  54.66,   9.06
1456000000,  54.65,   8.96
1457000000,  54.65,   8.96
1458000000,  54.64,   8.85
1459000000,  54.63,   8.73
1460000000,  54.63,   8.79
1461000000,  54.63,   8.72
1462000000,  54.62,   8.78
1463000000,  54.61,   8.79
1464000000,  54.60,   8.79
1465000000,  54.60,   8.89
1466000000,  54.59,   8.84
1467000000,  54.58,   8.69
1468000000,  54.58,   8.69
1469000000,  54.57,   8.85
1470000000,  54.56,   8.69
1471000000,  54.55,   8.85
1472000000,  54.54,   8.98
1473000000,  54.53,   8.78
1474000000,  54.52,   8.78
1475000000,  54.51,   8.89
1476000000,  54.50,   8.97
1477000000,  54.50,   9.04
1478000000,  54.47,   9.00
1479000000,  54.47,   8.82
1480000000,  54.47,   9.06
1481000000,  54.46,   9.12
1482000000,  54.46,   9.11
1483000000,  54.45,   9.03
1484000000,  54.43,   9.11
1485000000,  54.43,   9.18
1486000000,  54.42,   9.10
1487000000,  54.41,   9.12
1488000000,  54.42,   9.08
1489000000,  54.39,   9.09
1490000000,  54.39,   9.05
1491000000,  54.39,   9.03
1492000000,  54.37,   9.31
1493000000,  54.37,   9.06
1494000000,  54.36,   9.07
1495000000,  54.36,   9.22
1496000000,  54.35,   9.12
1497000000,  54.34,   9.20
1498000000,  54.33,   9.19
1499000000,  54.33,   9.27
1500000000,  54.31,   9.38
1501000000,  54.30,   9.09
1502000000,  54.31,   9.17
1503000000,  54.30,   9.21
