% f (Hz),G_rec (dB),T_e_rec (K)
1471000000,  57.14,   9.39
1472000000,  57.14,   9.31
1473000000,  57.14,   9.34
1474000000,  57.14,   9.30
1475000000,  57.13,   9.40
1476000000,  57.12,   9.43
1477000000,  57.13,   9.51
1478000000,  57.11,   9.50
1479000000,  57.11,   9.47
1480000000,  57.11,   9.41
1481000000,  57.11,   9.41
1482000000,  57.11,   9.52
1483000000,  57.11,   9.47
1484000000,  57.10,   9.43
1485000000,  57.10,   9.46
1486000000,  57.10,   9.51
1487000000,  57.09,   9.58
1488000000,  57.10,   9.43
1489000000,  57.08,   9.38
1490000000,  57.08,   9.48
1491000000,  57.09,   9.51
1492000000,  57.08,   9.43
1493000000,  57.09,   9.39
1494000000,  57.08,   9.44
1495000000,  57.08,   9.47
1496000000,  57.08,   9.52
1497000000,  57.08,   9.34
1498000000,  57.08,   9.39
1499000000,  57.08,   9.35
1500000000,  57.07,   9.50
1501000000,  57.07,   9.49
1502000000,  57.08,   9.34
1503000000,  57.07,   9.45
1504000000,  57.07,   9.50
1505000000,  57.07,   9.52
1506000000,  57.07,   9.52
1507000000,  57.08,   9.52
1508000000,  57.09,   9.42
1509000000,  57.07,   9.57
1510000000,  57.08,   9.49
1511000000,  57.08,   9.46
1512000000,  57.09,   9.44
1513000000,  57.08,   9.51
1514000000,  57.08,   9.62
1515000000,  57.08,   9.59
1516000000,  57.08,   9.75
1517000000,  57.09,   9.51
1518000000,  57.08,   9.62
1519000000,  57.08,   9.66
1520000000,  57.08,   9.62
1521000000,  57.08,   9.73
1522000000,  57.08,   9.70
1523000000,  57.08,   9.67
1524000000,  57.08,   9.64
1525000000,  57.08,   9.70
1526000000,  57.08,   9.62
1527000000,  57.08,   9.56
1528000000,  57.08,   9.61
1529000000,  57.08,   9.65
1530000000,  57.07,   9.66
1531000000,  57.08,   9.73
1532000000,  57.08,   9.68
1533000000,  57.07,   9.51
1534000000,  57.07,   9.49
1535000000,  57.07,   9.57
1536000000,  57.07,   9.59
1537000000,  57.07,   9.49
1538000000,  57.07,   9.46
1539000000,  57.06,   9.42
1540000000,  57.06,   9.38
1541000000,  57.06,   9.46
1542000000,  57.06,   9.51
1543000000,  57.05,   9.44
1544000000,  57.05,   9.32
1545000000,  57.04,   9.34
1546000000,  57.04,   9.34
1547000000,  57.04,   9.34
1548000000,  57.03,   9.30
1549000000,  57.03,   9.27
1550000000,  57.03,   9.25
1551000000,  57.02,   9.24
1552000000,  57.00,   9.30
1553000000,  57.01,   9.39
1554000000,  57.00,   9.49
1555000000,  57.00,   9.27
