|#SOURCE_ID|RA|DEC|NVSS_FLUX|INT_SPEC_INDX|3C_NAME|PKS_JNAME|PKS_1410_FLUX|PKS_635_FLUX|PKS_408_FLUX|PKS_SPEC_INDX 
1006|883978|214.212003|10.785611|4.305464|-0.317012|No-3C|PKS-J1416+1048|4.2|0.0|8.3|-0.527075
1007|884188|215.875439|11.997541|1.000784|-0.297063|No-3C|PKS-J1423+1159|0.0|0.0|1.91|-0.784545
1008|884717|264.460656|3.426265|1.350902|-0.709581|No-3C|PKS-J1737+0325|1.05|0.0|2.8|-0.604725
1009|885924|315.410946|-28.029717|5.749821|-0.546629|No-3C|PKS-J2101-2801|5.6|0.0|15.9|-0.739653
1010|885966|315.900955|-27.822452|1.03558|-0.613003|No-3C|PKS-J2103-2749|0.0|0.0|2.37|0.0
1011|888108|259.787286|22.751731|1.633049|-0.469668|No-3C|PKS-J1719+2244|1.7|2.8|0.0|-0.401683
1012|889424|197.771199|27.467164|2.00263|-0.890613|3C284|No-PKS|0.0|0.0|0.0|0.0
1013|890189|250.199953|12.33391|2.144641|-0.307224|No-3C|PKS-J1640+1220|2.08|0.0|3.68|-0.327607
1014|890288|251.17115|13.087508|1.365215|-0.791691|3C347|PKS-J1644+1305|1.3|0.0|4.24|-0.774696
1015|892832|110.546|-18.805549|1.044548|-0.896039|No-3C|PKS-J0722-1848|0.0|0.0|0.0|0.0
1016|892865|112.520437|-18.549658|1.423871|0.458854|No-3C|No-PKS|0.0|0.0|0.0|0.0
1017|893537|10.693514|-6.242753|1.214721|-0.647799|No-3C|PKS-J0042-0613|0.7|0.0|1.97|-0.856374
1018|894921|324.755482|14.393316|1.152613|0.215822|No-3C|PKS-J2139+1423|0.0|0.0|0.78|0.0
1019|894951|325.19913|14.636946|1.435957|-0.501535|No-3C|PKS-J2140+1437|1.1|0.0|3.11|-0.589892
1020|899577|5.788865|-25.043241|2.4237|-0.587944|No-3C|PKS-J0023-2502|2.4|0.0|5.36|-0.703246
1021|899579|5.7893|-25.041317|2.539928|-0.57394|No-3C|PKS-J0023-2502|2.4|0.0|5.36|-0.703246
1022|901753|229.481963|-12.251674|1.005383|-0.664069|No-3C|PKS-J1517-1215|0.0|0.0|2.66|0.0
1023|902067|228.43692|-10.199709|1.06952|-0.062977|No-3C|PKS-J1513-1011|0.0|0.0|0.93|0.0
1024|903722|87.139592|-32.952676|1.254441|-0.508963|No-3C|PKS-J0548-3257|0.0|0.0|2.0|-0.678825
1025|903931|87.707031|-31.740563|1.054055|-0.566534|No-3C|PKS-J0550-3144|0.0|0.0|2.3|0.0
1026|906413|187.04906|20.388635|1.298526|-0.600553|No-3C|PKS-J1228+2023|1.3|2.5|0.0|-0.610858
1027|906558|188.879753|21.347853|1.251936|-0.52617|No-3C|PKS-J1235+2120|2.8|5.5|0.0|-0.804651
1028|906559|188.867371|21.34555|2.922666|-0.873805|No-3C|PKS-J1235+2120|2.8|5.5|0.0|-0.804651
1029|906571|186.22757|21.379738|2.134624|-0.531826|No-3C|PKS-J1224+2122|1.5|2.6|0.0|-0.651076
1030|908483|233.718499|1.517527|1.350282|0.206765|No-3C|PKS-J1534+0131|1.2|0.0|1.28|-0.576224
1031|911590|135.570221|-14.25848|2.994221|-0.193594|No-3C|PKS-J0902-1415|3.28|4.25|3.93|-0.184768
1032|912921|50.588695|17.799523|1.134756|-0.67862|No-3C|PKS-J0322+1748|1.2|0.0|2.79|-0.646442
1033|915039|166.550375|-24.745401|1.157114|-0.852683|No-3C|PKS-J1106-2444|1.3|0.0|3.9|-1.000403
1034|916408|205.701732|1.9695|1.038182|-0.797228|No-3C|PKS-J1342+0158|0.98|1.9|2.94|-0.695498
1035|919842|305.264449|23.309809|1.842954|-0.707267|No-3C|PKS-J2021+2318|1.5|2.3|0.0|-0.692162
1036|919880|303.614944|23.581317|13.698611|-1.054597|3C409|PKS-J2014+2334|11.6|34.5|0.0|-0.888275
1037|921901|34.682946|-24.806004|1.345283|-0.912205|No-3C|PKS-J0218-2448|1.3|0.0|4.14|-0.925064
1038|922141|36.260888|-23.21323|2.118471|-0.761228|No-3C|PKS-J0225-2312|1.8|0.0|5.44|-0.78701
1039|923320|307.03013|-15.355838|1.503941|-0.988506|No-3C|PKS-J2028-1521|1.3|0.0|5.41|-0.86729
1040|925601|338.151745|11.730633|7.445548|0.11159|No-3C|PKS-J2232+1143|6.9|0.0|9.22|-0.000504
1041|926319|9.492966|24.119873|1.031566|-0.323798|No-3C|PKS-J0037+2407|0.9|1.7|0.0|-0.61994
1042|927371|217.130102|-1.40246|3.185405|-0.700053|No-3C|PKS-J1428-0124|3.12|6.8|7.21|-0.686859
1043|927978|329.674876|29.985641|1.304208|-0.733799|No-3C|No-PKS|0.0|0.0|0.0|0.0
1044|928846|24.408674|-24.515161|1.204616|-0.5315|No-3C|PKS-J0137-2430|0.0|0.0|2.2|-0.494826
1045|933272|297.846886|-27.622418|1.410581|-0.747785|No-3C|No-PKS|0.0|0.0|0.0|0.0
1046|935404|310.664037|-28.927104|1.069755|-0.816896|No-3C|PKS-J2042-2855|1.3|0.0|3.02|-0.774493
1047|935706|310.935227|-26.548609|2.535847|-0.592845|No-3C|PKS-J2043-2633|2.38|4.41|6.1|-0.700899
1048|937658|170.179451|23.465333|1.407977|-0.966337|3C256|PKS-J1120+2327|1.2|3.0|0.0|-0.969271
1049|940618|314.998361|-14.67865|1.050147|-0.793489|No-3C|No-PKS|0.0|0.0|0.0|0.0
1050|940758|292.076883|-29.5286|2.137246|-0.577543|No-3C|No-PKS|0.0|0.0|0.0|0.0
1051|940800|291.212986|-29.241972|13.593298|0.476862|No-3C|PKS-J1924-2914|5.7|0.0|5.63|0.0
1052|940983|293.214077|-27.900604|1.282932|-0.840827|No-3C|No-PKS|0.0|0.0|0.0|0.0
1053|941162|293.450653|-26.558332|1.289479|-0.628797|No-3C|PKS-J1933-2633|0.0|0.0|3.52|0.0
1054|941515|6.558241|-20.082762|1.210835|-0.683347|No-3C|PKS-J0026-2005|1.0|0.0|3.43|-0.825598
1055|941521|8.786641|-20.066533|2.028396|-0.833694|No-3C|PKS-J0035-2003|2.4|0.0|6.87|-0.939598
1056|942239|308.319981|-22.88841|2.493208|-0.720375|No-3C|PKS-J2033-2253|2.5|0.0|6.45|-0.655606
1057|943523|266.396787|17.333832|1.077855|-0.051224|No-3C|PKS-J1745+1720|0.0|0.0|1.13|0.0
1058|944676|293.669511|7.523619|1.318087|0.41366|No-3C|No-PKS|0.0|0.0|0.0|0.0
1059|945036|292.343582|9.969578|1.120745|-0.999581|No-3C|No-PKS|0.0|0.0|0.0|0.0
1060|945899|267.963649|-25.399859|1.265768|0.338996|No-3C|No-PKS|0.0|0.0|0.0|0.0
1061|945929|268.8315|-25.09068|2.996441|1.387363|No-3C|No-PKS|0.0|0.0|0.0|0.0
1062|946025|269.76203|-24.344868|1.20811|1.127367|No-3C|No-PKS|0.0|0.0|0.0|0.0
