#SOURCE_ID | RA | DEC | NVSS_FLUX | INT_SPEC_INDX | 3C_NAME | PKS_JNAME | PKS_1410_FLUX | PKS_635_FLUX | PKS_408_FLUX | PKS_SPEC_INDX 
No-ID|203.960417|-33.879444|0.000000|0.000000|No-3C|PKS-J1335-3352|0.000000|0.000000|0.000000|0.000000
No-ID|204.103750|-33.948611|0.000000|0.000000|No-3C|PKS-J1336-3356|0.000000|0.000000|34.000000|-0.365335
No-ID|206.740000|-60.382778|0.000000|0.000000|No-3C|PKS-J1346-6022|79.000000|0.000000|0.000000|0.000000
No-ID|216.134125|-49.230667|0.000000|0.000000|No-3C|PKS-J1424-4913|8.430000|10.000000|13.100000|-0.311549
No-ID|238.115833|-56.198889|0.000000|0.000000|No-3C|PKS-J1552-5611|0.000000|0.000000|0.000000|0.000000
No-ID|239.244875|-79.234472|0.000000|0.000000|No-3C|PKS-J1557-7913|5.800000|0.000000|7.950000|-0.246570
No-ID|241.688333|-63.525000|0.000000|0.000000|No-3C|PKS-J1606-6331|5.200000|0.000000|14.600000|-1.046433
No-ID|243.756250|-60.921667|0.000000|0.000000|No-3C|PKS-J1615-6055|43.000000|0.000000|0.000000|0.000000
No-ID|245.545833|-50.083889|0.000000|0.000000|No-3C|PKS-J1622-5005|8.300000|0.000000|0.000000|0.000000
No-ID|245.763750|-49.543611|0.000000|0.000000|No-3C|PKS-J1623-4932|6.000000|0.000000|0.000000|0.000000
No-ID|248.651667|-47.598889|0.000000|0.000000|No-3C|PKS-J1634-4735|87.000000|0.000000|0.000000|0.000000
No-ID|249.952500|-46.850278|0.000000|0.000000|No-3C|PKS-J1639-4651|53.000000|0.000000|0.000000|0.000000
No-ID|251.068417|-77.265500|0.000000|0.000000|No-3C|PKS-J1644-7715|5.800000|0.000000|11.400000|-0.499660
No-ID|260.920500|-65.009972|0.000000|0.000000|No-3C|PKS-J1723-6500|0.000000|0.000000|2.470000|0.000000
No-ID|264.399125|-56.567556|0.000000|0.000000|No-3C|PKS-J1737-5633|7.400000|0.000000|13.000000|-0.557539
No-ID|266.105875|-51.745528|0.000000|0.000000|No-3C|PKS-J1744-5144|0.000000|0.000000|5.380000|0.000000
No-ID|274.895792|-63.763361|0.000000|0.000000|No-3C|PKS-J1819-6345|12.300000|0.000000|37.000000|-0.856494
No-ID|275.982083|-12.476944|0.000000|0.000000|No-3C|PKS-J1823-1228|15.100000|0.000000|0.000000|0.000000
No-ID|281.825417|-2.044444|0.000000|0.000000|No-3C|PKS-J1847-0202|330.000000|0.000000|0.000000|0.000000
No-ID|286.016250|5.448889|0.000000|0.000000|3C396|PKS-J1904+0526|15.300000|0.000000|0.000000|-0.357182
No-ID|293.985417|-46.344167|0.000000|0.000000|No-3C|PKS-J1935-4620|12.600000|0.000000|39.600000|-0.881485
No-ID|294.854208|-63.712694|0.000000|0.000000|No-3C|PKS-J1939-6342|16.400000|0.000000|6.240000|0.383843
No-ID|297.315000|26.848333|0.000000|0.000000|No-3C|PKS-J1949+2650|5.400000|0.000000|0.000000|0.000000
No-ID|299.620417|-55.153333|0.000000|0.000000|No-3C|PKS-J1958-5509|6.000000|0.000000|14.000000|-0.696478
No-ID|329.274167|-69.689444|0.000000|0.000000|No-3C|PKS-J2157-6941|30.000000|0.000000|80.000000|-0.792113
No-ID|353.609167|-41.423333|0.000000|0.000000|No-3C|PKS-J2334-4125|5.070000|0.000000|15.900000|-0.809120
No-ID|359.746667|-60.915833|0.000000|0.000000|No-3C|PKS-J2358-6054|22.000000|0.000000|57.000000|-0.817006
