% f (Hz),   G_rec (dB), T_e_rec (K) 
1240000000,  55.38,   7.91
1241000000,  55.38,   8.07
1242000000,  55.39,   8.04
1243000000,  55.39,   7.99
1244000000,  55.39,   8.04
1245000000,  55.39,   7.93
1246000000,  55.40,   7.92
1247000000,  55.41,   8.09
1248000000,  55.42,   7.97
1249000000,  55.44,   8.12
1250000000,  55.43,   8.10
1251000000,  55.44,   8.15
1252000000,  55.45,   8.26
1253000000,  55.47,   8.18
1254000000,  55.48,   8.19
1255000000,  55.49,   8.28
1256000000,  55.51,   8.23
1257000000,  55.51,   8.27
1258000000,  55.53,   8.17
1259000000,  55.54,   8.23
1260000000,  55.56,   8.19
1261000000,  55.58,   8.29
1262000000,  55.58,   8.19
1263000000,  55.60,   8.19
1264000000,  55.62,   8.34
1265000000,  55.64,   8.30
1266000000,  55.67,   8.33
1267000000,  55.67,   8.46
1268000000,  55.70,   8.40
1269000000,  55.72,   8.35
1270000000,  55.73,   8.28
1271000000,  55.76,   8.26
1272000000,  55.78,   8.25
1273000000,  55.80,   8.33
1274000000,  55.83,   8.19
1275000000,  55.85,   8.38
1276000000,  55.87,   8.40
1277000000,  55.88,   8.24
1278000000,  55.91,   8.23
1279000000,  55.93,   8.18
1280000000,  55.94,   8.21
1281000000,  55.97,   8.26
1282000000,  55.99,   8.15
1283000000,  56.00,   8.15
1284000000,  56.02,   8.23
1285000000,  56.04,   8.25
1286000000,  56.05,   8.05
1287000000,  56.08,   8.01
1288000000,  56.11,   8.05
1289000000,  56.12,   8.04
1290000000,  56.13,   7.98
1291000000,  56.16,   8.04
1292000000,  56.17,   7.82
1293000000,  56.17,   7.97
1294000000,  56.21,   7.90
1295000000,  56.22,   7.85
1296000000,  56.23,   7.81
1297000000,  56.25,   7.78
1298000000,  56.26,   7.82
1299000000,  56.28,   7.71
1300000000,  56.30,   7.76
1301000000,  56.31,   7.67
1302000000,  56.32,   7.64
1303000000,  56.33,   7.66
1304000000,  56.34,   7.56
1305000000,  56.36,   7.54
1306000000,  56.35,   7.52
1307000000,  56.37,   7.44
1308000000,  56.38,   7.38
1309000000,  56.37,   7.40
1310000000,  56.40,   7.54
1311000000,  56.39,   7.36
1312000000,  56.40,   7.35
1313000000,  56.41,   7.32
1314000000,  56.41,   7.29
1315000000,  56.41,   7.19
1316000000,  56.42,   7.20
1317000000,  56.42,   7.14
1318000000,  56.43,   7.15
1319000000,  56.44,   7.15
1320000000,  56.44,   7.15
1321000000,  56.43,   7.07
1322000000,  56.43,   7.20
1323000000,  56.44,   7.20
1324000000,  56.43,   7.09
1325000000,  56.43,   7.07
1326000000,  56.43,   7.13
1327000000,  56.43,   7.11
1328000000,  56.43,   7.11
1329000000,  56.42,   7.01
1330000000,  56.41,   6.95
1331000000,  56.41,   7.06
1332000000,  56.40,   6.99
1333000000,  56.40,   7.04
1334000000,  56.39,   6.95
1335000000,  56.38,   7.07
1336000000,  56.38,   6.94
1337000000,  56.37,   7.02
1338000000,  56.36,   7.13
1339000000,  56.36,   6.93
1340000000,  56.35,   7.01
1341000000,  56.34,   7.06
1342000000,  56.34,   6.94
1343000000,  56.32,   7.04
1344000000,  56.32,   7.02
1345000000,  56.31,   7.07
1346000000,  56.31,   7.06
1347000000,  56.30,   7.15
1348000000,  56.28,   7.33
1349000000,  56.28,   7.26
1350000000,  56.27,   7.20
