% f (Hz),G_rec (dB),T_e_rec (K)
1450000000,  56.17,   7.86
1451000000,  56.17,   7.80
1452000000,  56.16,   7.78
1453000000,  56.14,   7.78
1454000000,  56.14,   7.66
1455000000,  56.14,   7.77
1456000000,  56.13,   7.75
1457000000,  56.12,   7.56
1458000000,  56.11,   7.52
1459000000,  56.10,   7.48
1460000000,  56.09,   7.51
1461000000,  56.09,   7.47
1462000000,  56.08,   7.57
1463000000,  56.06,   7.35
1464000000,  56.05,   7.27
1465000000,  56.04,   7.56
1466000000,  56.03,   7.37
1467000000,  56.02,   7.37
1468000000,  56.02,   7.21
1469000000,  56.00,   7.27
1470000000,  55.99,   7.35
1471000000,  55.98,   7.43
1472000000,  55.97,   7.37
1473000000,  55.96,   7.61
1474000000,  55.95,   7.47
1475000000,  55.94,   7.40
1476000000,  55.92,   7.41
1477000000,  55.93,   7.52
1478000000,  55.90,   7.42
1479000000,  55.90,   7.62
1480000000,  55.89,   7.46
1481000000,  55.89,   7.52
1482000000,  55.88,   7.54
1483000000,  55.88,   7.71
1484000000,  55.85,   7.50
1485000000,  55.85,   7.40
1486000000,  55.84,   7.55
1487000000,  55.83,   7.71
1488000000,  55.83,   7.58
1489000000,  55.81,   7.60
1490000000,  55.80,   7.74
1491000000,  55.80,   7.63
1492000000,  55.78,   7.75
1493000000,  55.78,   7.85
1494000000,  55.77,   7.69
1495000000,  55.76,   7.68
1496000000,  55.75,   7.65
1497000000,  55.74,   7.75
1498000000,  55.73,   7.95
1499000000,  55.72,   7.84
1500000000,  55.70,   7.86
1501000000,  55.70,   7.87
1502000000,  55.70,   7.72
1503000000,  55.69,   7.90
1504000000,  55.68,   7.78
1505000000,  55.68,   7.74
1506000000,  55.67,   7.91
1507000000,  55.67,   7.86
1508000000,  55.67,   7.90
1509000000,  55.65,   7.81
1510000000,  55.66,   7.63
1511000000,  55.65,   7.87
1512000000,  55.66,   7.82
1513000000,  55.65,   7.70
1514000000,  55.65,   7.87
1515000000,  55.64,   7.77
1516000000,  55.64,   7.74
1517000000,  55.64,   7.78
1518000000,  55.64,   7.75
1519000000,  55.64,   7.70
1520000000,  55.64,   7.95
1521000000,  55.63,   7.87
1522000000,  55.63,   7.93
1523000000,  55.63,   7.86
1524000000,  55.63,   7.69
1525000000,  55.63,   7.90
1526000000,  55.63,   7.73
1527000000,  55.63,   7.85
1528000000,  55.63,   7.85
1529000000,  55.63,   7.75
1530000000,  55.62,   7.83
1531000000,  55.63,   7.92
1532000000,  55.63,   7.93
1533000000,  55.62,   7.70
1534000000,  55.63,   7.70
1535000000,  55.63,   7.83
1536000000,  55.62,   7.87
1537000000,  55.63,   7.85
1538000000,  55.63,   7.66
1539000000,  55.62,   7.78
1540000000,  55.62,   7.74
1541000000,  55.62,   7.73
1542000000,  55.62,   7.83
1543000000,  55.61,   7.70
1544000000,  55.61,   7.82
1545000000,  55.60,   7.78
1546000000,  55.61,   7.65
1547000000,  55.61,   7.76
1548000000,  55.60,   7.66
1549000000,  55.60,   7.67
1550000000,  55.61,   7.71
1551000000,  55.59,   7.56
1552000000,  55.59,   7.52
1553000000,  55.59,   7.62
1554000000,  55.58,   7.69
1555000000,  55.58,   7.53
1556000000,  55.58,   7.52
1557000000,  55.58,   7.63
1558000000,  55.57,   7.34
1559000000,  55.56,   7.45
1560000000,  55.56,   7.58
1561000000,  55.55,   7.60
1562000000,  55.55,   7.39
1563000000,  55.54,   7.64
1564000000,  55.53,   7.39
1565000000,  55.53,   7.38
1566000000,  55.52,   7.32
1567000000,  55.50,   7.41
1568000000,  55.50,   7.30
1569000000,  55.52,   7.47
1570000000,  55.49,   7.32
1571000000,  55.48,   7.50
1572000000,  55.48,   7.47
1573000000,  55.48,   7.37
1574000000,  55.46,   7.46
1575000000,  55.45,   7.42
1576000000,  55.45,   7.38
1577000000,  55.43,   7.35
1578000000,  55.42,   7.34
1579000000,  55.42,   7.42
1580000000,  55.41,   7.55
1581000000,  55.40,   7.52
1582000000,  55.38,   7.44
1583000000,  55.37,   7.62
1584000000,  55.36,   7.60
1585000000,  55.36,   7.52
1586000000,  55.35,   7.55
1587000000,  55.34,   7.63
1588000000,  55.33,   7.54
1589000000,  55.31,   7.69
1590000000,  55.30,   7.64
1591000000,  55.30,   7.57
1592000000,  55.28,   7.61
1593000000,  55.26,   7.55
1594000000,  55.26,   7.69
1595000000,  55.25,   7.80
1596000000,  55.24,   7.71
1597000000,  55.22,   7.87
1598000000,  55.21,   7.80
1599000000,  55.19,   7.83
1600000000,  55.20,   7.72
1601000000,  55.18,   7.86
1602000000,  55.16,   8.07
1603000000,  55.15,   7.74
1604000000,  55.14,   7.72
1605000000,  55.13,   7.90
1606000000,  55.12,   7.90
1607000000,  55.11,   7.91
1608000000,  55.10,   8.09
1609000000,  55.09,   7.96
1610000000,  55.07,   8.06
1611000000,  55.07,   7.86
1612000000,  55.05,   8.22
1613000000,  55.03,   8.09
1614000000,  55.03,   8.11
1615000000,  55.02,   8.16
1616000000,  55.00,   8.06
1617000000,  54.99,   8.17
1618000000,  54.98,   8.21
1619000000,  54.98,   8.37
1620000000,  54.96,   8.38
1621000000,  54.94,   8.36
1622000000,  54.94,   8.59
1623000000,  54.93,   8.34
1624000000,  54.92,   8.37
1625000000,  54.91,   8.26
1626000000,  54.90,   8.48
1627000000,  54.90,   8.49
1628000000,  54.89,   8.47
1629000000,  54.88,   8.30
1630000000,  54.87,   8.38
1631000000,  54.88,   8.51
1632000000,  54.86,   8.53
1633000000,  54.86,   8.44
1634000000,  54.84,   8.45
1635000000,  54.84,   8.55
1636000000,  54.84,   8.53
1637000000,  54.83,   8.49
1638000000,  54.82,   8.56
1639000000,  54.81,   8.48
1640000000,  54.80,   8.39
1641000000,  54.80,   8.46
1642000000,  54.78,   8.33
1643000000,  54.78,   8.44
1644000000,  54.76,   8.58
1645000000,  54.75,   8.51
1646000000,  54.76,   8.48
1647000000,  54.75,   8.43
1648000000,  54.73,   8.60
1649000000,  54.73,   8.86
1650000000,  54.73,   8.65
1651000000,  54.73,   8.45
1652000000,  54.72,   8.71
1653000000,  54.71,   8.69
1654000000,  54.71,   8.58
1655000000,  54.71,   8.49
1656000000,  54.70,   8.73
1657000000,  54.70,   8.55
1658000000,  54.70,   8.67
1659000000,  54.69,   8.93
1660000000,  54.69,   8.83
1661000000,  54.69,   8.66
1662000000,  54.69,   8.59
1663000000,  54.70,   8.92
1664000000,  54.68,   8.93
1665000000,  54.69,   8.87
1666000000,  54.68,   8.89
1667000000,  54.68,   8.91
1668000000,  54.69,   9.02
1669000000,  54.68,   9.11
1670000000,  54.67,   9.11
