% f (Hz),G_rec (dB),T_e_rec (K)
1232000000,  57.32,   7.79
1233000000,  57.33,   7.79
1234000000,  57.33,   7.87
1235000000,  57.34,   7.90
1236000000,  57.34,   7.83
1237000000,  57.35,   7.89
1238000000,  57.35,   7.94
1239000000,  57.36,   7.85
1240000000,  57.36,   7.88
1241000000,  57.38,   7.86
1242000000,  57.39,   7.95
1243000000,  57.39,   8.04
1244000000,  57.39,   8.04
1245000000,  57.40,   7.99
1246000000,  57.42,   8.10
1247000000,  57.43,   8.03
1248000000,  57.44,   7.98
1249000000,  57.47,   8.13
1250000000,  57.46,   8.16
1251000000,  57.48,   8.02
1252000000,  57.49,   8.00
1253000000,  57.50,   8.02
1254000000,  57.51,   8.09
1255000000,  57.53,   8.09
1256000000,  57.55,   8.16
1257000000,  57.54,   8.00
1258000000,  57.55,   7.97
1259000000,  57.57,   8.11
1260000000,  57.58,   8.07
1261000000,  57.59,   8.12
1262000000,  57.59,   8.08
1263000000,  57.61,   8.04
1264000000,  57.61,   8.14
1265000000,  57.63,   7.96
1266000000,  57.65,   8.30
1267000000,  57.64,   8.12
1268000000,  57.66,   8.25
1269000000,  57.68,   8.06
1270000000,  57.68,   8.34
1271000000,  57.70,   8.05
1272000000,  57.71,   8.19
1273000000,  57.71,   8.00
1274000000,  57.73,   8.24
1275000000,  57.75,   8.08
1276000000,  57.75,   8.13
1277000000,  57.75,   8.13
1278000000,  57.77,   8.09
1279000000,  57.78,   8.08
1280000000,  57.79,   8.18
1281000000,  57.80,   7.90
1282000000,  57.81,   8.10
1283000000,  57.81,   7.88
1284000000,  57.82,   8.07
1285000000,  57.82,   7.97
1286000000,  57.82,   7.94
1287000000,  57.83,   8.10
1288000000,  57.85,   8.01
1289000000,  57.85,   7.97
1290000000,  57.84,   7.93
1291000000,  57.86,   7.88
1292000000,  57.85,   7.97
1293000000,  57.84,   7.84
1294000000,  57.86,   7.73
1295000000,  57.86,   7.67
1296000000,  57.84,   7.86
1297000000,  57.84,   7.82
1298000000,  57.84,   7.64
1299000000,  57.84,   7.78
1300000000,  57.84,   7.78
1301000000,  57.84,   7.63
1302000000,  57.83,   7.67
1303000000,  57.83,   7.66
1304000000,  57.82,   7.64
1305000000,  57.83,   7.73
1306000000,  57.81,   7.58
1307000000,  57.81,   7.67
1308000000,  57.81,   7.62
1309000000,  57.80,   7.48
1310000000,  57.80,   7.52
1311000000,  57.78,   7.56
1312000000,  57.79,   7.46
1313000000,  57.78,   7.64
1314000000,  57.77,   7.54
1315000000,  57.76,   7.43
1316000000,  57.76,   7.45
1317000000,  57.75,   7.43
1318000000,  57.74,   7.53
1319000000,  57.74,   7.46
1320000000,  57.73,   7.48
1321000000,  57.72,   7.50
1322000000,  57.70,   7.48
1323000000,  57.71,   7.34
1324000000,  57.70,   7.40
1325000000,  57.68,   7.48
1326000000,  57.68,   7.51
1327000000,  57.67,   7.51
1328000000,  57.67,   7.38
1329000000,  57.66,   7.43
1330000000,  57.64,   7.47
1331000000,  57.64,   7.43
1332000000,  57.63,   7.37
1333000000,  57.63,   7.56
1334000000,  57.63,   7.56
1335000000,  57.62,   7.47
1336000000,  57.61,   7.57
1337000000,  57.61,   7.42
1338000000,  57.61,   7.46
1339000000,  57.61,   7.48
1340000000,  57.61,   7.49
1341000000,  57.61,   7.52
1342000000,  57.61,   7.61
1343000000,  57.59,   7.51
1344000000,  57.59,   7.61
1345000000,  57.58,   7.42
1346000000,  57.57,   7.60
1347000000,  57.56,   7.53
1348000000,  57.54,   7.60
1349000000,  57.54,   7.75
1350000000,  57.53,   7.54
1351000000,  57.52,   7.57
1352000000,  57.52,   7.61
1353000000,  57.51,   7.55
1354000000,  57.50,   7.76
1355000000,  57.49,   7.81
1356000000,  57.48,   7.72
1357000000,  57.49,   7.79
1358000000,  57.48,   7.73
1359000000,  57.47,   7.69
1360000000,  57.47,   7.89
1361000000,  57.47,   7.60
1362000000,  57.46,   7.73
1363000000,  57.46,   7.75
1364000000,  57.45,   7.74
1365000000,  57.46,   7.75
1366000000,  57.46,   7.71
